appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u16025,"['Palmprint', 'SOTU']",SOTU,1046251,False,nan,no rank,0,Mononegavirales,u16025,0.1729723499593609,163.0,0,0,u16025,1.0,0.0
u8200,"['Palmprint', 'SOTU']",SOTU,348013,False,nan,no rank,1,Bunyavirales,u8200,1.048319995467913,24.0,0,1,,,
u7120,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,2,Amarillovirales,u7120,0.4229430783518312,208.0,1,2,u7120,2.0,0.0
u613645,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,3,Amarillovirales,u613645,0.15000000000000002,3.0,1,3,,,
u38502,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,4,Amarillovirales,u38502,1.0665507638183571,208.0,1,4,,,
u12303,"['Palmprint', 'SOTU']",SOTU,1679172,False,nan,species,5,Reovirales,u12303,0.17975539428468934,5.0,0,5,u12303,1.0,0.0
u7492,"['Palmprint', 'SOTU']",SOTU,64293,True,nan,species,6,Amarillovirales,u7492,0.24707623778653376,208.0,1,6,u7492,5.0,0.0
u45333,"['Palmprint', 'SOTU']",SOTU,64293,True,nan,species,6,Amarillovirales,u45333,0.19111890783052993,208.0,1,6,u45333,1.0,0.0
u997851,"['Palmprint', 'SOTU']",SOTU,11978,False,nan,species,7,Picornavirales,u997851,0.15000000000000002,8.0,0,7,u997851,3.0,0.0
u6622,"['Palmprint', 'SOTU']",SOTU,11978,False,nan,species,8,Picornavirales,u6622,0.18546458416235578,135.0,0,8,u6622,3.0,0.0
u6048,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,9,Reovirales,u6048,0.15000000000000002,11.0,1,9,u6048,3.0,0.0
u286260,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,9,Reovirales,u286260,0.2775,11.0,1,9,,,
u892960,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,10,Reovirales,u892960,0.15000000000000002,12.0,1,10,,,
u943,"['Palmprint', 'SOTU']",SOTU,2169991,True,nan,species,11,Bunyavirales,u943,0.19102444987775064,414.0,1,0,u943,1.0,0.0
u703612,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,12,Picornavirales,u703612,0.15000000000000002,14.0,0,1,u703612,8.0,10.0
u9975,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,8,Picornavirales,u9975,0.18977288294685293,135.0,0,8,,,
u913280,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,13,Picornavirales,u913280,0.15000000000000002,16.0,0,2,u913280,9.0,10.0
u187822,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,8,Picornavirales,u187822,0.4444206903880475,135.0,0,8,,,
u898099,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,14,Picornavirales,u898099,0.15000000000000002,18.0,0,3,,,
u229982,"['Palmprint', 'SOTU']",SOTU,40050,False,nan,species,15,Reovirales,u229982,0.19425660804585804,5.0,0,4,,,
u18951,"['Palmprint', 'SOTU']",SOTU,2748253,False,nan,species,1,Bunyavirales,u18951,0.21580601616783893,24.0,0,1,u18951,2.0,0.0
u1056565,"['Palmprint', 'SOTU']",SOTU,2748253,False,nan,species,16,Bunyavirales,u1056565,0.15000000000000002,21.0,0,5,,,
u9230,"['Palmprint', 'SOTU']",SOTU,80941,True,nan,no rank,1,Bunyavirales,u9230,0.15000000000000002,24.0,1,1,,,
u777054,"['Palmprint', 'SOTU']",SOTU,80941,True,nan,no rank,17,Bunyavirales,u777054,0.15000000000000002,23.0,1,6,,,
u23058,"['Palmprint', 'SOTU']",SOTU,70566,False,nan,no rank,18,Bunyavirales,u23058,0.2220568946102406,24.0,0,7,u23058,1.0,0.0
u17460,"['Palmprint', 'SOTU']",SOTU,40056,False,nan,species,19,Reovirales,u17460,0.2094486703170337,5.0,0,8,u17460,1.0,0.0
u24766,"['Palmprint', 'SOTU']",SOTU,64303,True,nan,species,20,Amarillovirales,u24766,0.2085508801444082,208.0,1,9,,,
u413034,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,21,Stellavirales,u413034,0.15000000000000002,27.0,0,10,,,
u1073168,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,22,Stellavirales,u1073168,0.15000000000000002,28.0,0,0,,,
u823254,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,23,Stellavirales,u823254,0.15000000000000002,29.0,0,1,,,
u503605,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,24,Stellavirales,u503605,0.15000000000000002,30.0,0,2,,,
u115522,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,25,Stellavirales,u115522,0.15000000000000002,31.0,0,3,,,
u953210,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,26,Stellavirales,u953210,0.15000000000000002,32.0,0,4,,,
u1034026,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,27,Stellavirales,u1034026,0.15000000000000002,33.0,0,5,,,
u17442,"['Palmprint', 'SOTU']",SOTU,1435485,False,nan,species,28,Stellavirales,u17442,0.19506292414741006,126.0,0,6,,,
