appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u16025,"['Palmprint', 'SOTU']",SOTU,1046251,False,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,u16025,1.0,0.0
u8200,"['Palmprint', 'SOTU']",SOTU,348013,False,nan,no rank,1,Bunyavirales,Bunyavirales,1.0,164,1,,,
u7120,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u7120,2.0,0.0
u613645,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,2,Amarillovirales,Amarillovirales,0.0,3,2,,,
u38502,"['Palmprint', 'SOTU']",SOTU,11089,True,nan,species,3,Amarillovirales,Amarillovirales,2.0,208,3,,,
u12303,"['Palmprint', 'SOTU']",SOTU,1679172,False,nan,species,0,Reovirales,Reovirales,0.0,193,0,u12303,1.0,0.0
u7492,"['Palmprint', 'SOTU']",SOTU,64293,True,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u7492,5.0,0.0
u45333,"['Palmprint', 'SOTU']",SOTU,64293,True,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,u45333,1.0,0.0
u997851,"['Palmprint', 'SOTU']",SOTU,11978,False,nan,species,0,Picornavirales,Picornavirales,1.0,208,0,u997851,3.0,0.0
u6622,"['Palmprint', 'SOTU']",SOTU,11978,False,nan,species,0,Picornavirales,Picornavirales,0.0,208,0,u6622,2.0,0.0
u6048,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,0,Reovirales,Reovirales,1.0,193,0,u6048,4.0,0.0
u286260,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,4,Reovirales,Reovirales,0.0,193,4,,,
u892960,"['Palmprint', 'SOTU']",SOTU,77763,True,nan,species,5,Reovirales,Reovirales,0.0,12,5,,,
u943,"['Palmprint', 'SOTU']",SOTU,2169991,True,nan,species,0,Bunyavirales,Bunyavirales,0.0,282,0,,,
u703612,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,0,Picornavirales,Picornavirales,1.0,282,0,u703612,9.0,10.0
u9975,"['Palmprint', 'SOTU']",SOTU,154121,False,nan,species,0,Picornavirales,Picornavirales,0.0,282,0,u9975,2.0,0.0
