sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1013662,0,4,0,1,0,0,0,2
u1031306,0,4,0,0,0,0,0,0
u1051646,0,2,0,0,0,0,0,1
u1054557,0,3,0,0,0,0,0,0
u1073168,0,2,0,0,0,0,0,0
u10830,0,0,0,1,0,0,0,0
u111830,1,3,0,0,1,0,0,0
u118871,0,1,0,0,0,0,1,0
u12303,0,2,0,2,0,0,0,0
u12743,0,2,0,0,0,0,0,0
u14724,1,1,0,0,1,0,0,0
u149303,3,14,2,4,2,1,1,2
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,1,1
u15992,0,0,0,1,0,0,0,0
u16025,0,2,0,1,0,0,0,0
u164307,0,5,0,2,1,0,4,1
u16477,0,4,0,2,1,0,0,1
u16483,0,1,0,1,0,0,0,0
u16791,0,1,0,0,0,0,0,0
u1680,1,5,0,3,1,0,3,2
u17071,0,2,0,0,0,0,0,1
u17107,0,1,0,0,1,0,0,1
u17125,1,11,0,1,3,0,2,4
u17442,0,2,0,0,0,0,0,0
u17460,0,0,0,1,0,0,0,0
u17854,1,9,0,2,0,0,0,2
u1831,1,10,2,3,2,0,0,6
u184358,0,2,0,0,0,0,0,0
u18450,7,20,8,5,11,2,14,5
u18463,0,0,0,2,0,0,0,0
u18583,0,0,0,3,0,0,0,0
u189209,0,3,0,0,1,0,0,2
u18951,1,4,0,0,0,0,0,0
u191472,0,4,0,0,0,0,0,0
u19445,0,1,0,1,0,0,0,0
u1958,1,10,0,3,3,0,4,3
u19626,0,0,0,1,0,0,0,0
u1971,0,1,0,0,0,0,0,0
u19742,2,1,1,1,0,0,0,0
u19952,0,4,0,1,0,0,0,0
u20448,0,8,0,0,0,0,0,0
u2133,0,0,0,1,0,0,0,0
u21349,0,0,1,0,0,0,1,0
u21450,0,1,0,1,1,0,0,0
u21558,0,1,0,0,0,0,0,0
u217989,2,4,0,2,1,0,2,2
u22509,0,1,0,0,0,0,0,0
u22735,0,2,0,1,1,0,0,2
u23058,0,0,0,1,0,0,0,0
u232264,0,3,0,0,0,0,0,0
u232730,0,0,0,1,0,0,0,0
u23531,0,0,0,2,0,0,0,0
u23650,1,0,0,2,0,0,0,0
u238213,0,0,0,0,0,0,0,1
u239287,3,13,0,6,10,0,2,5
u24121,0,5,0,0,1,0,0,0
u24285,2,14,1,3,3,0,2,5
u243431,0,2,0,0,0,0,0,0
u24454,0,3,0,1,0,0,0,0
u24970,0,2,0,0,0,0,0,0
u25133,0,2,1,0,0,0,0,0
u25189,0,2,0,1,0,0,0,0
u253503,0,3,0,0,0,0,1,0
u2539,0,1,0,0,0,0,1,0
u2562,2,4,0,1,0,0,0,0
u259922,1,11,0,5,3,0,1,6
u26670,0,0,0,1,0,0,0,0
u2740,0,5,0,1,0,0,4,0
u29403,0,1,0,1,0,0,0,0
u29504,0,1,0,0,1,0,0,0
u29610,1,14,0,4,0,0,1,1
u307751,0,2,0,1,0,0,0,0
u3171,0,5,0,1,0,0,0,0
u3243,3,4,0,3,1,0,0,1
u3250,0,3,0,2,0,0,0,1
u3278,0,2,0,3,3,0,0,2
u3632,0,6,0,2,1,0,0,3
u36766,1,3,0,1,0,0,0,1
u3729,1,1,0,1,0,0,0,0
u37868,0,7,0,3,1,0,2,2
u37877,0,5,0,2,0,0,0,2
u38034,1,1,0,1,0,0,0,0
u387312,0,3,0,0,1,0,0,0
u388976,0,1,0,0,0,0,0,0
u389350,0,0,0,1,0,0,0,0
u39811,0,5,0,2,0,0,1,1
u400723,0,3,0,0,0,0,0,0
u4011,0,0,0,0,0,0,1,0
u413034,0,0,0,0,1,0,0,0
u416424,0,3,0,1,1,0,0,2
u419816,0,2,0,1,0,0,0,0
u4497,1,3,0,1,0,0,0,0
u452313,3,1,0,0,0,0,0,0
u4543,1,5,0,3,3,0,0,5
u460607,0,6,0,1,0,0,1,1
u473002,1,3,0,0,1,0,1,0
u483645,1,1,0,3,1,0,1,0
u486314,0,0,0,0,1,0,0,0
u4902,0,0,0,1,0,0,0,0
u492552,0,2,0,1,0,0,0,0
u501640,0,1,0,0,0,0,0,0
u514679,1,0,0,0,0,0,0,0
u5172,0,0,0,0,0,0,1,0
u5284,2,4,0,1,1,0,0,0
u550190,0,0,0,0,1,0,0,0
u556668,0,1,0,0,0,0,0,0
u561267,0,0,0,1,0,0,0,0
u562401,1,0,0,0,0,0,1,0
u569572,0,1,0,0,0,0,1,0
u582294,0,5,0,0,1,0,0,1
