sourceAppId,Non-vertebrate,Vertebrate
u1008085,1,1
u1010160,2,1
u1011241,3,0
u1019643,2,0
u1021716,1,0
u1041,3,1
u1044971,1,0
u1052321,2,0
u1053892,3,0
u1054555,1,0
u1054761,1,1
u1058528,3,0
u1059371,0,1
u1061268,2,0
u106572,1,1
u1075117,2,1
u1095,20,4
u11178,4,2
u113609,1,1
u11435,6,0
u11550,6,1
u118068,2,1
u12233,1,1
u123944,13,3
u124810,3,0
u126467,11,1
u126989,2,0
u127057,4,0
u12737,7,1
u127577,3,0
u127846,4,2
u127849,2,0
u128,8,2
u1297,16,15
u13023,1,0
u131345,6,0
u131402,5,1
u133030,3,0
u133261,1,0
u134036,3,1
u134524,1,0
u13498,5,0
u135661,3,0
u13577,0,1
u140522,3,0
u142278,2,1
u145364,1,0
u148722,2,1
u1513,12,3
u151385,2,2
u15152,0,1
u155578,5,0
u1631,8,1
u163316,2,0
u166714,2,1
u16688,6,1
u16704,13,6
u16775,7,1
u174487,0,1
u17481,0,1
u17557,1,0
u175903,2,1
u176060,4,1
u177462,1,0
u179620,4,0
u17974,0,1
u1801,1,0
u181218,4,1
u181959,0,1
u18285,4,1
u183355,1,0
u184946,3,0
u189592,4,1
u190602,2,0
u191348,5,1
u19204,10,1
u19341,0,1
u19525,2,0
u197235,1,0
u198165,1,1
u207044,190,38
u2083,1,0
u21412,1,1
u216153,2,0
u217334,1,0
u217468,2,1
u218034,3,0
u219517,3,0
u22066,1,0
u22583,1,0
u227542,1,1
u230477,1,0
u230586,4,4
u23246,2,0
u23264,11,3
u23268,1,0
u2371,2,3
u237274,1,0
u237288,3,0
u23818,2,1
u238237,2,1
u23964,17,2
u24052,0,2
u240559,2,2
u240772,6,4
u24190,2,0
u242765,7,1
u24280,0,1
u2449,1,0
u250044,2,0
u25022,12,2
u25198,4,1
u255311,5,1
u25569,1,0
u25668,15,1
u258,6,3
u258874,2,1
u259712,0,1
u2598,9,1
u26157,3,1
u261906,5,0
u26426,11,2
u26638,4,1
u26958,2,1
u27014,1,0
u2716,10,1
u273894,4,1
u278844,1,0
u2793,17,3
u28250,2,0
u2833,24,5
u283774,1,0
u283925,1,1
u285409,1,0
u287478,1,0
u291146,9,2
u291421,5,1
u293151,1,0
u29609,2,1
u303211,38,9
u3166,0,2
u318910,1,0
u3234,2,1
u345572,1,0
u351616,20,3
u3548,0,1
u383314,2,1
u38502,1,0
u38509,3,2
u389160,1,0
u38985,2,0
u405,13,3
u417481,3,0
u443602,8,0
u45333,0,1
u4537,1,2
u464317,22,3
u465710,1,0
u4687,3,0
u475080,1,0
u482954,2,0
u4842,4,0
u488449,1,1
u48874,1,2
u491643,8,4
u501325,3,1
u509861,2,0
u516495,5,0
u523488,2,0
u5265,1,0
u54306,3,1
u547455,1,1
u5475,1,0
u54781,4,0
u547944,1,0
u548,9,3
u550,0,1
u5525,3,1
u557424,1,1
u565422,3,0
u570343,1,0
u575788,1,0
u590865,2,0
u592303,2,0
u592585,2,0
u59849,3,0
u602,11,0
u6048,6,2
u604911,5,1
u6076,3,1
u618960,1,0
u622542,2,0
u623416,2,1
u623499,2,0
u626280,0,2
u63187,9,1
u632416,2,0
u6349,2,0
u64094,1,0
u6438,10,2
u646907,1,1
u648086,2,1
u6549,2,0
u655859,9,4
u656582,1,0
u665602,1,0
u683515,3,0
u684408,3,0
u6845,1,0
u687848,5,0
u688747,3,0
u689532,2,0
u691399,1,0
u691725,7,1
u694014,12,1
u696081,1,0
u698555,2,0
u703,14,5
u703398,2,1
u708769,3,1
u7106,7,3
u710664,4,0
u7112,5,1
u71199,10,2
u7120,1,2
u712143,0,1
u716720,1,0
u718542,1,0
u7256,8,2
u726938,1,1
u726993,1,0
u72811,1,0
u7290,2,0
u731707,1,0
u741,12,3
u744974,1,1
u748646,0,1
u7492,3,4
u759354,0,2
u760703,9,4
u761698,1,0
u769573,1,0
u773284,3,0
u780278,1,0
u781489,2,2
u781695,3,0
u786704,1,0
u792303,1,0
u798111,2,0
u800160,0,1
u8107,1,0
u820616,4,1
u823709,7,2
u824,28,5
u82622,4,0
u828768,1,0
u829404,1,0
u831531,7,2
u833002,4,0
u835542,1,0
u840779,2,0
u843595,3,0
u845135,5,1
u850318,0,1
u852907,1,0
u8555,15,3
u856126,18,4
u85830,2,1
u8613,4,3
u8640,2,1
u864352,1,0
u867966,1,0
u8719,1,1
u879538,3,0
u880467,1,1
u883540,1,0
u883959,1,0
u884170,3,0
u888122,8,2
u892960,2,0
u9003,5,0
u902785,1,0
u903542,2,0
u906969,6,1
u910073,4,0
u914141,4,0
u91440,2,0
u921774,1,2
u928419,17,4
u9322,4,0
u933646,1,0
u933647,2,0
u935062,3,0
u937773,2,0
u943,2,0
u94624,1,1
u946442,2,0
u948716,2,0
u950481,1,0
u950783,2,0
u955577,1,1
u955792,3,0
u961361,5,5
u964814,2,0
u973577,1,0
u975858,1,1
u977953,2,1
u983706,2,0
u987572,20,3
u99033,2,0
u99287,7,2
u993885,1,0
