sample,condition
u1008085,True
u1010160,True
u1011241,True
u1019643,True
u1021716,True
u1041,True
u1044971,True
u1052321,True
u1053892,True
u1054555,True
u1054761,True
u1058528,True
u1059371,True
u1061268,True
u106572,True
u1075117,True
u1095,True
u11178,True
u113609,True
u11435,True
u11550,True
u118068,True
u12233,True
u123944,True
u124810,True
u126467,True
u126989,True
u127057,True
u12737,True
u127577,True
u127846,True
u127849,True
u128,True
u1297,True
u13023,True
u131345,True
u131402,True
u133030,True
u133261,True
u134036,True
u134524,True
u13498,True
u135661,True
u13577,True
u140522,True
u142278,True
u145364,True
u148722,True
u1513,True
u151385,True
u15152,True
u155578,True
u1631,True
u163316,True
u166714,True
u16688,True
u16704,True
u16775,True
u174487,True
u17481,True
u17557,True
u175903,True
u176060,True
u177462,True
u179620,True
u17974,True
u1801,True
u181218,True
u181959,True
u18285,True
u183355,True
u184946,True
u189592,True
u190602,True
u191348,True
u19204,True
u19341,True
u19525,True
u197235,True
u198165,True
u207044,True
u2083,True
u21412,True
u216153,True
u217334,True
u217468,True
u218034,True
u219517,True
u22066,True
u22583,True
u227542,True
u230477,True
u230586,True
u23246,True
u23264,True
u23268,True
u2371,True
u237274,True
u237288,True
u23818,True
u238237,True
u23964,True
u24052,True
u240559,True
u240772,True
u24190,True
u242765,True
u24280,True
u2449,True
u250044,True
u25022,True
u25198,True
u255311,True
u25569,True
u25668,True
u258,True
u258874,True
u259712,True
u2598,True
u26157,True
u261906,True
u26426,True
u26638,True
u26958,True
u27014,True
u2716,True
u273894,True
u278844,True
u2793,True
u28250,True
u2833,True
u283774,True
u283925,True
u285409,True
u287478,True
u291146,True
u291421,True
u293151,True
u29609,True
u303211,True
u3166,True
u318910,True
u3234,True
u345572,True
u351616,True
u3548,True
u383314,True
u38502,True
u38509,True
u389160,True
u38985,True
u405,True
u417481,True
u443602,True
u45333,True
u4537,True
u464317,True
u465710,True
u4687,True
u475080,True
u482954,True
u4842,True
u488449,True
u48874,True
u491643,True
u501325,True
u509861,True
u516495,True
u523488,True
u5265,True
u54306,True
u547455,True
u5475,True
u54781,True
u547944,True
u548,True
u550,True
u5525,True
u557424,True
u565422,True
u570343,True
u575788,True
u590865,True
u592303,True
u592585,True
u59849,True
u602,True
u6048,True
u604911,True
u6076,True
u618960,True
u622542,True
u623416,True
u623499,True
u626280,True
u63187,True
u632416,True
u6349,True
u64094,True
u6438,True
u646907,True
u648086,True
u6549,True
u655859,True
u656582,True
u665602,True
u683515,True
u684408,True
u6845,True
u687848,True
u688747,True
u689532,True
u691399,True
u691725,True
u694014,True
u696081,True
u698555,True
u703,True
u703398,True
u708769,True
u7106,True
u710664,True
u7112,True
u71199,True
u7120,True
u712143,True
u716720,True
u718542,True
u7256,True
u726938,True
u726993,True
u72811,True
u7290,True
u731707,True
u741,True
u744974,True
u748646,True
u7492,True
u759354,True
u760703,True
u761698,True
u769573,True
u773284,True
u780278,True
u781489,True
u781695,True
u786704,True
u792303,True
u798111,True
u800160,True
u8107,True
u820616,True
u823709,True
u824,True
u82622,True
u828768,True
u829404,True
u831531,True
u833002,True
u835542,True
u840779,True
u843595,True
u845135,True
u850318,True
u852907,True
u8555,True
u856126,True
u85830,True
u8613,True
u8640,True
u864352,True
u867966,True
u8719,True
u879538,True
u880467,True
u883540,True
u883959,True
u884170,True
u888122,True
u892960,True
u9003,True
u902785,True
u903542,True
u906969,True
u910073,True
u914141,True
u91440,True
u921774,True
u928419,True
u9322,True
u933646,True
u933647,True
u935062,True
u937773,True
u943,True
u94624,True
u946442,True
u948716,True
u950481,True
u950783,True
u955577,True
u955792,True
u961361,True
u964814,True
u973577,True
u975858,True
u977953,True
u983706,True
u987572,True
u99033,True
u99287,True
u993885,True
