,count,percent
Bacteroidales,174,0.05898305084745763
Eubacteriales,159,0.05389830508474576
Primates,146,0.04949152542372881
Burkholderiales,122,0.04135593220338983
Rodentia,117,0.03966101694915254
Pseudomonadales,113,0.03830508474576271
Lactobacillales,109,0.03694915254237288
Enterobacterales,105,0.03559322033898305
Artiodactyla,93,0.03152542372881356
Martellivirales,82,0.027796610169491524
Hyphomicrobiales,60,0.020338983050847456
Picornavirales,45,0.015254237288135594
Poales,45,0.015254237288135594
Diptera,44,0.014915254237288136
Salmoniformes,40,0.013559322033898305
Methanosarcinales,37,0.012542372881355932
Reovirales,37,0.012542372881355932
Mycobacteriales,37,0.012542372881355932
Araneae,32,0.010847457627118645
Bacillales,31,0.010508474576271187
Campylobacterales,30,0.010169491525423728
Brassicales,30,0.010169491525423728
Moraxellales,30,0.010169491525423728
Petitvirales,26,0.008813559322033898
Carnivora,25,0.00847457627118644
Stellavirales,24,0.008135593220338983
Veillonellales,22,0.007457627118644068
Alteromonadales,22,0.007457627118644068
Nidovirales,21,0.00711864406779661
Pasteurellales,21,0.00711864406779661
Cypriniformes,20,0.006779661016949152
Mononegavirales,20,0.006779661016949152
Solanales,19,0.006440677966101695
Galliformes,19,0.006440677966101695
Mycoplasmatales,18,0.006101694915254237
Rosales,18,0.006101694915254237
Hymenoptera,17,0.00576271186440678
Bifidobacteriales,17,0.00576271186440678
Decapoda,17,0.00576271186440678
Flavobacteriales,16,0.005423728813559322
Fabales,16,0.005423728813559322
Rhodobacterales,15,0.005084745762711864
Micrococcales,15,0.005084745762711864
Tolivirales,15,0.005084745762711864
Methanobacteriales,15,0.005084745762711864
Chiroptera,14,0.0047457627118644066
Synechococcales,13,0.004406779661016949
Trypanosomatida,13,0.004406779661016949
Fusobacteriales,13,0.004406779661016949
Saccharomycetales,12,0.004067796610169492
Xanthomonadales,11,0.003728813559322034
Oceanospirillales,11,0.003728813559322034
Ixodida,11,0.003728813559322034
Rhodocyclales,11,0.003728813559322034
Neisseriales,11,0.003728813559322034
Amarillovirales,11,0.003728813559322034
Lagomorpha,10,0.003389830508474576
Nitrosopumilales,9,0.0030508474576271187
Candidatus Nanopelagicales,9,0.0030508474576271187
Nitrosomonadales,9,0.0030508474576271187
Methanomicrobiales,9,0.0030508474576271187
Norzivirales,9,0.0030508474576271187
Erysipelotrichales,9,0.0030508474576271187
Sphingomonadales,8,0.002711864406779661
Asterales,8,0.002711864406779661
Anseriformes,8,0.002711864406779661
Candidatus Pelagibacterales,8,0.002711864406779661
Malpighiales,8,0.002711864406779661
Pholidota,8,0.002711864406779661
Perciformes,8,0.002711864406779661
Propionibacteriales,8,0.002711864406779661
Coleoptera,8,0.002711864406779661
Oscillatoriales,7,0.0023728813559322033
Malvales,7,0.0023728813559322033
Octopoda,7,0.0023728813559322033
Desulfovibrionales,7,0.0023728813559322033
Hemiptera,7,0.0023728813559322033
Vibrionales,7,0.0023728813559322033
Anura,7,0.0023728813559322033
Chromatiales,6,0.002033898305084746
Fagales,6,0.002033898305084746
Myrtales,6,0.002033898305084746
Hypocreales,6,0.002033898305084746
Scleractinia,6,0.002033898305084746
Lamiales,6,0.002033898305084746
Herpesvirales,6,0.002033898305084746
Articulavirales,6,0.002033898305084746
Asparagales,6,0.002033898305084746
Perissodactyla,5,0.001694915254237288
Haemosporida,5,0.001694915254237288
Funariales,5,0.001694915254237288
Actinomycetales,5,0.001694915254237288
Arecales,5,0.001694915254237288
Apiales,5,0.001694915254237288
Passeriformes,5,0.001694915254237288
Ostreida,5,0.001694915254237288
Natrialbales,5,0.001694915254237288
Eulipotyphla,5,0.001694915254237288
Nostocales,5,0.001694915254237288
Sphingobacteriales,5,0.001694915254237288
Eurotiales,5,0.001694915254237288
Methanotrichales,5,0.001694915254237288
Spirochaetales,5,0.001694915254237288
Fibrobacterales,5,0.001694915254237288
Isochrysidales,5,0.001694915254237288
Blattodea,5,0.001694915254237288
Pleosporales,5,0.001694915254237288
Rickettsiales,5,0.001694915254237288
Pectinida,4,0.0013559322033898306
Methanococcales,4,0.0013559322033898306
