sotuTaxId,Non-vertebrate,Vertebrate
11041,3,3
11047,0,1
11048,6,3
11099,2,0
11241,0,3
11274,17,8
11303,2,1
11976,10,3
11978,1,5
28344,29,13
31612,3,1
31631,52,15
38143,1,1
40051,1,1
40056,0,1
40062,4,1
40067,1,1
50713,2,0
54315,6,9
59305,1,0
64281,0,2
64283,1,0
64292,0,1
64294,0,1
64298,1,0
64299,0,1
70566,0,1
92129,1,0
106333,7,8
106966,24,12
118140,37,29
147711,32,14
147712,5,6
154121,15,10
154122,0,2
161675,0,1
186540,2,0
204711,7,4
237020,2,2
249584,1,1
351073,14,5
352236,6,0
358764,1,2
380434,3,1
380440,2,0
590647,1,1
629735,0,1
686984,15,8
688436,1,1
909207,1,1
1046251,0,1
1176484,2,7
1239566,7,2
1239567,70,22
1239574,7,3
1239577,11,0
1313215,4,1
1428581,1,0
1435485,10,3
1453410,1,0
1623310,1,0
1679172,1,2
1803956,11,4
1868658,1,0
1972568,2,0
1980493,2,0
2547358,1,0
2560580,44,12
2593991,2,0
2748252,1,0
2748253,3,0
2886894,0,1
