sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1008085,1,0,0,0,0,0,0,0
u1010160,0,0,1,2,0,0,0,0
u1011241,1,0,0,0,0,0,0,0
u1019643,1,0,0,0,0,0,0,0
u1021716,0,0,0,0,0,0,0,1
u1041,0,10,0,129,0,0,0,5
u1044971,2,0,0,0,0,0,0,0
u1054555,0,0,0,0,0,0,1,0
u1054761,0,0,0,1,0,0,0,0
u1058528,4,0,0,0,0,0,0,0
u1059371,0,0,0,0,3,0,0,0
u1061268,5,0,0,0,0,0,0,0
u1095,0,37,17,63,2,0,3,20
u11178,0,0,0,0,1,0,0,0
u113609,0,0,0,1,0,0,0,0
u11435,0,2,0,0,0,0,0,1
u11550,0,0,0,1,0,0,0,1
u118068,0,2,0,0,0,0,0,0
u12233,0,0,0,3,0,0,0,0
u123944,0,8,0,3,0,0,0,18
u126467,0,20,0,4,0,0,0,2
u126989,0,0,0,0,0,0,2,0
u127057,0,2,0,0,0,0,0,1
u12737,0,1,0,7,0,0,0,0
u127577,0,2,0,0,0,0,0,0
u127846,0,1,0,3,0,0,0,0
u128,0,8,0,17,0,0,0,6
u1297,0,16,0,84,24,0,0,12
u131345,0,3,0,0,0,0,0,2
u131402,0,2,0,0,1,0,0,18
u133261,0,0,0,0,0,0,0,1
u134036,0,0,0,0,0,0,3,0
u13498,0,0,0,0,0,0,0,1
u135661,0,3,0,0,0,0,0,3
u13577,0,0,0,1,0,0,0,0
u140522,0,0,0,0,0,0,0,7
u142278,0,1,0,1,0,0,0,0
u148722,0,0,0,18,0,0,0,0
u1513,0,7,0,10,0,0,0,1
u151385,5,0,0,11,0,0,0,1
u15152,0,0,0,2,0,0,0,0
u1631,4,1,0,16,0,0,1,0
u163316,0,6,0,0,0,0,0,1
u166714,0,0,0,1,0,0,1,4
u16688,0,1,0,0,0,0,0,1
u16704,0,2,0,52,29,0,3,16
u16775,1,1,0,1,0,0,3,1
u174487,0,0,0,1,0,0,0,0
u175903,0,0,0,1,0,0,0,0
u176060,0,3,0,1,0,0,0,1
u179620,0,1,0,0,0,0,121,0
u17974,0,0,0,1,0,0,0,0
u1801,0,1,0,0,0,0,0,0
u181218,0,0,0,0,1,0,0,6
u181959,0,0,0,0,1,0,0,0
u18285,0,3,0,1,0,0,0,1
u184946,0,1,0,0,0,0,0,1
u189592,0,0,0,1,2,0,0,0
u191348,0,2,0,0,0,0,0,4
u19204,0,1,0,4,0,0,0,1
u19341,0,0,0,2,0,0,0,0
u19525,0,0,0,0,0,0,5,0
u198165,0,1,0,1,0,0,0,0
u207044,423,2067,272,8556,1070,22,1376,495
u2083,0,1,0,0,0,0,0,0
u21412,0,0,0,0,0,0,0,1
u217334,0,0,0,0,0,0,2,0
u217468,16,0,0,0,0,0,0,0
u218034,0,2,0,0,0,0,0,0
u219517,0,1,0,0,0,0,0,0
u22583,0,0,0,0,0,0,30,0
u227542,0,0,0,1,0,0,0,0
u230477,0,0,0,0,0,0,0,6
u230586,0,1,0,25,1,0,0,15
u23264,0,7,0,2,1,0,0,35
u23268,0,1,0,0,0,0,0,0
u2371,0,5,0,4,0,0,0,0
u237274,0,1,0,0,0,0,0,0
u23818,0,0,0,0,1,0,0,0
u238237,9,0,0,3,0,0,0,10
u23964,0,12,0,1,0,0,1,30
u24052,0,0,0,2,0,0,0,0
u240559,2,0,0,2,0,0,0,1
u240772,4,1,0,352,0,0,0,1
u242765,0,2,0,2,0,0,0,0
u24280,0,0,0,1,0,0,0,0
u2449,0,0,0,0,1,0,0,0
u250044,4,0,0,0,0,0,0,0
u25022,0,1,0,0,4,0,1,43
u25198,0,2,0,0,25,0,0,0
u255311,0,0,0,1,0,0,1,0
u25569,0,2,0,0,0,0,0,0
u25668,0,1,0,0,1,0,0,14
u258,42,6,0,2,1,0,0,25
u258874,0,1,0,1,0,0,0,0
u259712,0,0,0,1,0,0,0,0
u2598,6,2,0,6,0,0,9,0
u26157,3,0,0,1,0,0,0,0
u261906,0,3,0,0,0,0,0,4
u26426,0,2,4,41,0,0,0,13
u26638,0,0,0,1,0,0,0,4
u26958,0,1,0,0,1,0,0,0
u27014,0,1,0,0,0,0,0,0
u2716,0,12,0,29,0,0,0,11
u273894,0,1,0,0,0,0,0,0
u278844,0,0,0,0,0,0,3,0
u2793,0,10,0,8,0,0,0,7
u28250,0,0,0,0,0,0,0,1
u2833,4,36,1,84,3,0,1,7
u283774,4,0,0,0,0,0,0,0
u283925,0,0,0,1,0,0,3,0
u285409,0,0,0,0,0,0,0,1
u287478,1,0,0,0,0,0,0,0
u291146,0,0,0,3,1,0,3,19
u291421,0,0,0,1,0,0,1,0
u29609,0,0,0,8,0,0,0,0
u303211,2,26,2,79,4,0,6,105
u3166,0,0,0,3,0,0,0,0
u318910,0,0,0,0,0,0,0,2
u3234,0,0,0,0,0,0,0,1
u345572,0,3,0,0,0,0,0,0
u351616,0,4,0,13,1,0,0,8
u3548,0,0,0,1,0,0,0,0
u383314,1,0,0,0,0,0,1,0
u38509,0,0,0,2,0,0,0,0
u38985,1,0,0,0,0,0,0,0
u405,1,2,1,18,0,0,28,0
u45333,0,0,0,0,2,0,0,0
u4537,0,0,0,3,0,0,0,0
u464317,0,30,0,9,1,0,0,49
