sotuTaxId,Non-vertebrate,Vertebrate
11021,0,2
11033,3,1
11034,7,2
11036,6,3
11072,5,1
11080,1,0
11084,3,1
11089,1,2
11137,6,2
11263,2,3
11272,3,0
11277,29,11
11280,1,0
11292,12,7
11318,1,1
11320,165,49
11520,8,4
11569,11,0
12092,24,9
12104,8,4
12542,1,0
12637,11,5
12730,7,6
28875,44,22
28876,7,3
33743,0,1
35307,1,0
37124,2,1
40052,2,2
40059,0,1
44024,2,0
44025,1,0
44158,1,0
46839,7,1
54290,16,6
59300,11,3
59301,3,2
59302,2,1
59563,1,0
64286,0,1
64293,1,5
64295,3,1
64320,11,3
77763,3,1
80939,1,0
118655,7,0
138949,1,1
145856,163,49
162013,0,2
162145,5,2
164416,1,0
172314,3,3
206160,1,0
290008,1,1
291484,17,20
292278,0,1
1678230,0,2
1980456,0,1
2169991,1,0
2560525,1,3
2905673,3,6
2905917,0,1
