sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1008085,1,0,0,0,0,0,0,0
u1010160,0,0,1,1,0,0,0,0
u1011241,1,0,0,0,0,0,0,0
u1013662,0,1,0,1,0,0,0,0
u1019643,1,0,0,0,0,0,0,0
u1021716,0,0,0,0,0,0,0,1
u1031306,0,1,0,0,0,0,0,0
u1041,0,1,0,1,0,0,0,1
u1044971,1,0,0,0,0,0,0,0
u1051646,0,1,0,0,0,0,0,0
u1054555,0,0,0,0,0,0,1,0
u1054761,0,0,0,1,0,0,0,0
u1058528,1,0,0,0,0,0,0,0
u1059371,0,0,0,0,1,0,0,0
u1061268,1,0,0,0,0,0,0,0
u10830,0,0,0,1,0,0,0,0
u1095,0,5,1,3,1,0,1,1
u11178,0,0,0,0,1,0,0,0
u111830,0,1,0,0,1,0,0,0
u113609,0,0,0,1,0,0,0,0
u11435,0,2,0,0,0,0,0,1
u11550,0,0,0,1,0,0,0,1
u118068,0,1,0,0,0,0,0,0
u118871,0,0,0,0,0,0,1,0
u12233,0,0,0,1,0,0,0,0
u12303,0,1,0,2,0,0,0,0
u123944,0,3,0,1,0,0,0,1
u126467,0,6,0,1,0,0,0,2
u126989,0,0,0,0,0,0,2,0
u127057,0,1,0,0,0,0,0,1
u12737,0,1,0,1,0,0,0,0
u127577,0,2,0,0,0,0,0,0
u127846,0,1,0,2,0,0,0,0
u128,0,2,0,2,0,0,0,2
u1297,0,5,0,6,6,0,0,2
u131345,0,3,0,0,0,0,0,1
u131402,0,2,0,0,1,0,0,1
u133261,0,0,0,0,0,0,0,1
u134036,0,0,0,0,0,0,1,0
u13498,0,0,0,0,0,0,0,1
u135661,0,1,0,0,0,0,0,1
u13577,0,0,0,1,0,0,0,0
u140522,0,0,0,0,0,0,0,1
u142278,0,1,0,1,0,0,0,0
u14724,1,0,0,0,1,0,0,0
u148722,0,0,0,1,0,0,0,0
u149303,1,6,2,4,2,1,1,2
u1513,0,3,0,2,0,0,0,1
u151385,1,0,0,1,0,0,0,1
u15152,0,0,0,1,0,0,0,0
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,1,0
u15992,0,0,0,1,0,0,0,0
u16025,0,0,0,1,0,0,0,0
u1631,1,1,0,1,0,0,1,0
u163316,0,1,0,0,0,0,0,1
u164307,0,1,0,2,0,0,4,1
u16477,0,2,0,2,0,0,0,0
u16483,0,1,0,1,0,0,0,0
u166714,0,0,0,1,0,0,1,1
u16688,0,1,0,0,0,0,0,1
u16704,0,2,0,3,3,0,2,2
u16775,1,1,0,1,0,0,2,1
u1680,1,2,0,3,1,0,3,1
u17071,0,0,0,0,0,0,0,1
u17107,0,0,0,0,1,0,0,0
u17125,1,6,0,1,1,0,2,1
u17442,0,2,0,0,0,0,0,0
u174487,0,0,0,1,0,0,0,0
u17460,0,0,0,1,0,0,0,0
u175903,0,0,0,1,0,0,0,0
u176060,0,1,0,1,0,0,0,1
u17854,0,2,0,2,0,0,0,0
u179620,0,1,0,0,0,0,2,0
u17974,0,0,0,1,0,0,0,0
u1801,0,1,0,0,0,0,0,0
u181218,0,0,0,0,1,0,0,1
