sourceAppId,Non-vertebrate,Vertebrate
u1008085,1,0
u1010160,1,1
u1011241,1,0
u1013662,1,1
u1019643,1,0
u1021716,1,0
u1031306,1,0
u1041,2,1
u1044971,1,0
u1051646,1,0
u1054555,1,0
u1054761,0,1
u1058528,1,0
u1059371,0,1
u1061268,1,0
u10830,0,1
u1095,8,4
u11178,0,1
u111830,1,1
u113609,0,1
u11435,3,0
u11550,1,1
u118068,1,0
u118871,1,0
u12233,0,1
u12303,1,2
u123944,4,1
u126467,8,1
u126989,2,0
u127057,2,0
u12737,1,1
u127577,2,0
u127846,1,2
u128,4,2
u1297,7,12
u131345,4,0
u131402,3,1
u133261,1,0
u134036,1,0
u13498,1,0
u135661,2,0
u13577,0,1
u140522,1,0
u142278,1,1
u14724,1,1
u148722,0,1
u149303,14,5
u1513,4,2
u151385,2,1
u15152,0,1
u15161,0,1
u15499,1,0
u15992,0,1
u16025,0,1
u1631,3,1
u163316,2,0
u164307,6,2
u16477,2,2
u16483,1,1
u166714,2,1
u16688,2,0
u16704,6,6
u16775,5,1
u1680,8,3
u17071,1,0
u17107,0,1
u17125,10,2
u17442,2,0
u174487,0,1
u17460,0,1
u175903,0,1
u176060,2,1
u17854,2,2
u179620,3,0
u17974,0,1
u1801,1,0
u181218,2,0
u181959,0,1
u18285,3,1
u1831,11,3
u18450,44,12
u18463,0,1
u184946,2,0
u18583,0,3
u189209,1,0
u18951,3,0
u189592,1,1
u191348,3,0
u19204,2,1
u19341,0,1
u19445,0,1
u19525,2,0
u1958,11,4
u19626,0,1
u19742,3,1
u198165,1,1
u19952,1,1
u20448,4,0
u207044,153,37
u2083,1,0
u2133,0,1
u21349,1,0
u21412,1,0
u21450,0,1
u21558,1,0
u217334,1,0
u217468,1,0
u217989,8,3
u218034,2,0
u219517,1,0
u22509,1,0
u22583,1,0
u22735,0,1
u227542,0,1
u230477,1,0
u23058,0,1
u230586,2,4
u23264,5,2
u23268,1,0
u232730,0,1
u23531,0,2
u23650,1,2
u2371,2,3
u237274,1,0
u23818,0,1
u238213,1,0
u238237,2,1
u239287,16,12
u23964,7,1
u24052,0,2
u240559,2,1
u240772,3,4
u24121,1,0
u242765,2,1
u24280,0,1
u24285,14,3
u24454,2,1
u2449,1,0
u250044,2,0
u25022,3,1
u25133,2,0
u25189,1,1
u25198,3,1
u253503,2,0
u2539,2,0
u255311,1,1
u25569,1,0
u2562,2,1
u25668,3,0
u258,3,2
u258874,1,1
u259712,0,1
u2598,5,1
u259922,10,4
u26157,2,1
u261906,3,0
u26426,5,2
u26638,1,1
u26670,0,1
u26958,1,1
u27014,1,0
u2716,4,1
u273894,1,0
u2740,6,1
u278844,1,0
u2793,6,3
u28250,1,0
u2833,13,5
u283774,1,0
u283925,1,1
u285409,1,0
u287478,1,0
u291146,4,1
u291421,1,1
u29403,0,1
u29504,1,0
u29609,0,1
u29610,9,3
u303211,22,8
u307751,1,0
u3166,0,2
u3171,2,1
u318910,1,0
u3234,1,0
u3243,3,4
u3250,3,2
u3278,4,5
u345572,1,0
u351616,4,2
u3548,0,1
u3632,2,2
u36766,4,1
u3729,1,1
u37868,7,3
u37877,3,2
u38034,1,1
u383314,2,0
u38509,0,2
u387312,1,0
u389350,0,1
u38985,1,0
u39811,1,2
u400723,1,0
u4011,1,0
u405,6,2
u413034,1,0
u416424,3,1
u419816,0,1
u4497,2,1
u452313,2,0
u45333,0,1
u4537,0,2
u4543,7,2
u460607,3,1
u464317,9,2
u4687,2,0
u473002,2,0
u483645,2,4
u4842,4,0
u486314,1,0
u48874,0,1
u4902,0,1
u491643,5,3
u492552,1,0
u501325,0,1
u501640,1,0
u514679,1,0
u516495,1,0
u5172,1,0
u5265,1,0
u5284,4,1
u54306,2,0
u547455,1,1
u54781,2,0
u548,1,3
u550,0,1
u5525,0,1
u561267,0,1
u562401,1,0
u569572,1,0
u570343,1,0
u582294,2,1
u583895,1,0
u590865,1,0
u592303,2,0
u592585,1,0
u59849,1,0
u602,7,0
u6048,3,1
u6076,3,1
u6152,13,5
u617110,2,0
u6173,3,1
u618960,1,0
u626280,0,2
u628596,3,2
u63187,6,1
u632416,2,0
u6346,3,3
u6349,1,0
u6359,1,1
u6381,0,1
u64094,1,0
u6438,2,1
u646907,1,1
u648086,0,1
u648909,1,0
u649358,5,2
u6497,1,1
u653854,4,1
u654834,12,5
u6549,1,0
u655859,5,4
u658409,0,1
u659542,1,0
u6622,1,2
u6734,1,0
u683515,1,0
u6845,1,0
u687848,2,0
u688967,0,2
u691399,1,0
u694014,7,1
u696611,1,0
u698555,1,0
u703,7,4
u703398,0,1
u703495,1,0
u703612,5,5
u708769,1,1
u7106,5,3
u7112,0,1
u71199,5,1
u7120,1,2
u712143,0,1
u718542,1,0
u7256,6,2
u726938,0,1
u726993,1,0
u72811,1,0
u733204,6,3
u7358,0,1
u736734,8,4
u741,8,3
u743088,6,4
u744974,0,1
u748646,0,1
u7492,1,4
u7529,5,1
u754,2,0
u759354,0,2
u760703,2,3
u761698,1,0
u773284,1,0
u781489,1,1
u781695,3,0
u7892,1,1
u792303,1,0
u7986,51,14
u800160,0,1
u8030,3,2
u8055,0,1
u811277,2,3
u812996,2,0
u814919,2,2
u820616,0,1
u821211,1,1
u823254,3,0
u823709,3,1
u8238,5,2
u824,10,3
u827875,0,1
u829404,1,0
u831531,3,2
u833002,2,0
u840779,1,0
u8408,0,3
u845135,1,1
u850318,0,1
u851981,3,1
u8520,1,1
u8555,11,3
u856126,12,3
u85830,2,0
u8613,4,2
u8640,2,0
