sotuTaxId,Non-vertebrate,Vertebrate
11021,0,2
11033,3,1
11034,7,2
11036,6,3
11041,3,3
11047,0,1
11048,6,3
11072,5,1
11080,1,0
11084,3,1
11089,1,2
11099,2,0
11137,6,2
11241,0,3
11263,2,3
11272,3,0
11274,17,8
11277,29,11
11280,1,0
11292,12,7
11303,2,1
11318,1,1
11320,165,49
11520,8,4
11569,11,0
11976,10,3
11978,1,5
12092,24,9
12104,8,4
12542,1,0
12637,11,5
12730,7,6
28344,29,13
28875,44,22
28876,7,3
31612,3,1
31631,52,15
33743,0,1
35307,1,0
37124,2,1
38143,1,1
40051,1,1
40052,2,2
40056,0,1
40059,0,1
40062,4,1
40067,1,1
44024,2,0
44025,1,0
44158,1,0
46839,7,1
50713,2,0
54290,16,6
54315,6,9
59300,11,3
59301,3,2
59302,2,1
59305,1,0
59563,1,0
64281,0,2
64283,1,0
64286,0,1
64292,0,1
64293,1,5
64294,0,1
64295,3,1
64298,1,0
64299,0,1
64320,11,3
70566,0,1
77763,3,1
80939,1,0
92129,1,0
106333,7,8
106966,24,12
118140,37,29
118655,7,0
138949,1,1
145856,163,49
147711,32,14
147712,5,6
154121,15,10
154122,0,2
161675,0,1
162013,0,2
162145,5,2
164416,1,0
172314,3,3
186540,2,0
204711,7,4
206160,1,0
237020,2,2
249584,1,1
290008,1,1
291484,17,20
292278,0,1
351073,14,5
352236,6,0
358764,1,2
380434,3,1
380440,2,0
590647,1,1
629735,0,1
686984,15,8
688436,1,1
909207,1,1
1046251,0,1
1176484,2,7
1239566,7,2
1239567,70,22
1239574,7,3
1239577,11,0
1313215,4,1
1428581,1,0
1435485,10,3
1453410,1,0
1623310,1,0
1678230,0,2
1679172,1,2
1803956,11,4
1868658,1,0
1972568,2,0
1980456,0,1
1980493,2,0
2169991,1,0
2547358,1,0
2560525,1,3
2560580,44,12
2593991,2,0
2748252,1,0
2748253,3,0
2886894,0,1
2905673,3,6
2905917,0,1
