taxId,hostClass
1150,Bacteria
2039638,Bacteria
3244,Plant
206351,Bacteria
135624,Bacteria
5042,Fungi
356,Bacteria
85011,Bacteria
73496,Plant
7088,Anthropod
92860,Fungi
28738,Other
203491,Bacteria
909929,Bacteria
9975,Mammal
2726947,Fungi
36750,Fungi
261007,Plant
766,Bacteria
30262,Anthropod
2732534,Virus
3502,Plant
8929,Other
135613,Bacteria
2281,Other
2905377,Other
32069,Bacteria
8111,Other
41872,Other
135625,Bacteria
1489907,Other
135618,Bacteria
3215,Plant
9126,Other
7041,Anthropod
2558200,Other
75739,Parasite
162474,Fungi
72025,Plant
76804,Virus
38608,Mammal
13792,Plant
7399,Anthropod
403667,Plant
768507,Bacteria
3042,Plant
6236,Other
2899670,Anthropod
6562,Other
135614,Bacteria
80840,Bacteria
68889,Fungi
85006,Bacteria
2732543,Virus
4036,Plant
38820,Plant
5819,Parasite
51291,Bacteria
186826,Bacteria
35491,Plant
1489911,Other
11157,Virus
6893,Anthropod
6125,Other
1489928,Other
2093819,Bacteria
3646,Plant
91561,Mammal
85009,Bacteria
8342,Other
135623,Bacteria
2169561,Virus
8006,Other
7933,Other
5014,Fungi
2732541,Virus
5234,Fungi
5151,Fungi
5178,Fungi
206389,Bacteria
41944,Plant
406427,Other
1490028,Other
452342,Fungi
1489940,Other
7599,Other
33183,Fungi
94695,Other
6821,Anthropod
7147,Anthropod
7524,Anthropod
3744,Plant
1118,Bacteria
420622,Other
186329,Bacteria
85004,Bacteria
8826,Other
33847,Other
1643688,Bacteria
189479,Fungi
4618,Plant
2182,Other
2899683,Anthropod
2158,Other
232378,Plant
6935,Anthropod
204458,Bacteria
33554,Mammal
106218,Other
1485168,Other
38605,Mammal
9774,Mammal
9989,Mammal
2732515,Virus
4069,Plant
2732551,Virus
8976,Other
200644,Bacteria
2732094,Virus
6833,Anthropod
34634,Anthropod
200666,Bacteria
38609,Mammal
9971,Mammal
2887326,Bacteria
2732414,Virus
7858,Other
1489876,Other
4143,Plant
135619,Bacteria
1385,Bacteria
6683,Anthropod
2732553,Virus
9397,Mammal
8459,Other
34346,Fungi
6580,Other
8252,Other
464095,Virus
675063,Virus
40551,Plant
2732559,Virus
5125,Fungi
213849,Bacteria
91347,Bacteria
1489900,Other
418919,Other
171549,Bacteria
1100069,Bacteria
41937,Plant
9787,Mammal
2235,Other
85823,Anthropod
8509,Other
85007,Bacteria
2682482,Other
4892,Fungi
29,Bacteria
6638,Other
639021,Fungi
136,Bacteria
41945,Plant
35460,Plant
5139,Fungi
1028384,Fungi
5863,Parasite
83136,Anthropod
1161,Bacteria
72273,Bacteria
5738,Other
1127829,Bacteria
2085,Bacteria
1890424,Bacteria
54526,Bacteria
5303,Fungi
32003,Bacteria
31932,Other
37104,Other
658125,Other
589342,Other
9443,Mammal
4209,Plant
71239,Plant
2058949,Other
2704949,Other
5338,Fungi
9392,Mammal
41166,Other
84337,Anthropod
6180,Other
204441,Bacteria
1843489,Bacteria
31277,Parasite
41938,Plant
38748,Other
73020,Other
204455,Bacteria
31022,Other
129912,Other
1980410,Virus
1644055,Other
72274,Bacteria
7995,Other
204457,Bacteria
4055,Plant
1706369,Bacteria
85012,Bacteria
6497,Other
2191,Other
6855,Anthropod
2037,Bacteria
6993,Anthropod
6103,Other
2732545,Virus
76071,Other
2499411,Virus
2732527,Virus
9362,Mammal
1489931,Other
48461,Bacteria
2732536,Virus
2732544,Virus
135622,Bacteria
4776,Other
948951,Mammal
8288,Other
7952,Other
3524,Plant
186802,Bacteria
3699,Plant
36064,Fungi
