sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1013662,0,0,0,1,0,0,0,0
u10830,0,0,0,1,0,0,0,0
u111830,0,0,0,0,3,0,0,0
u118871,0,0,0,0,0,0,3,0
u12303,0,0,0,1,0,0,0,0
u14724,1,0,0,0,0,0,0,0
u149303,1,4,2,25,1,0,2,1
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,9,0
u16025,0,0,0,1,0,0,0,0
u164307,0,2,0,3,0,0,4,1
u16477,0,0,0,6,0,0,0,0
u16483,0,0,0,1,0,0,0,0
u1680,1,0,0,239,0,0,8,0
u17071,0,0,0,0,0,0,0,1
u17107,0,0,0,0,1,0,0,0
u17125,0,1,0,36,1,0,2,0
u17460,0,0,0,18,0,0,0,0
u17854,0,0,0,11,0,0,0,0
u1831,0,3,0,9,0,0,0,1
u18450,12,18,24,1589,52,2,132,1
u18463,0,0,0,2,0,0,0,0
u18583,0,0,0,2,0,0,0,0
u18951,1,1,0,0,0,0,0,0
u19445,0,0,0,1,0,0,0,0
u1958,1,4,0,23,0,0,3,1
u19626,0,0,0,2,0,0,0,0
u19742,0,1,1,1,0,0,0,0
u19952,0,0,0,4,0,0,0,0
u2133,0,0,0,3,0,0,0,0
u21349,0,0,0,0,0,0,1,0
u21450,0,0,0,1,0,0,0,0
u217989,0,0,0,6,4,0,2,0
u22735,0,0,0,5,0,0,0,0
u23058,0,0,0,1,0,0,0,0
u232730,0,0,0,1,0,0,0,0
u23531,0,0,0,2,0,0,0,0
u23650,1,0,0,7,0,0,0,0
u239287,2,8,0,28,18,0,5,0
u24285,5,4,0,56,0,0,2,0
u24454,0,0,0,1,0,0,0,0
u25189,0,0,0,1,0,0,0,0
u253503,0,0,0,0,0,0,1,0
u2539,0,0,0,0,0,0,1,0
u2562,1,0,0,1,0,0,0,0
u259922,2,1,0,16,0,0,1,2
u26670,0,0,0,2,0,0,0,0
u2740,0,4,0,7,0,0,5,0
u29504,0,0,0,0,2,0,0,0
u29610,0,10,0,26,0,0,0,1
u3171,0,0,0,5,0,0,0,0
u3243,1,0,0,8,0,0,0,0
u3250,0,2,0,15,0,0,0,0
u3278,0,0,0,37,5,0,0,1
u3632,0,0,0,13,0,0,0,0
u36766,0,1,0,1,0,0,0,0
u3729,1,0,0,15,0,0,0,0
u37868,0,0,0,11,0,0,2,1
u37877,0,3,0,18,0,0,0,1
u38034,1,0,0,1,0,0,0,0
u389350,0,0,0,11,0,0,0,0
u39811,0,0,0,3,0,0,1,0
u4011,0,0,0,0,0,0,1,0
u416424,0,0,0,2,0,0,0,0
u4497,1,0,0,1,0,0,0,0
u452313,5,0,0,0,0,0,0,0
u4543,1,1,0,14,0,0,0,3
u460607,0,0,0,7,0,0,0,0
u483645,1,0,0,80,2,0,0,0
u4902,0,0,0,1,0,0,0,0
u514679,1,0,0,0,0,0,0,0
u5284,0,2,0,0,0,0,0,0
u561267,0,0,0,1,0,0,0,0
u569572,0,0,0,0,0,0,1,0
u582294,0,0,0,0,2,0,0,0
u583895,1,0,0,0,0,0,0,0
u6152,2,2,0,45,1,0,0,0
u617110,1,0,0,0,0,0,0,0
u6173,0,0,0,3,0,0,0,0
u628596,0,1,0,3,0,0,0,1
u6346,0,0,0,18,1,0,0,0
u6359,0,0,0,0,1,0,4,0
u6381,0,0,0,1,0,0,0,0
u649358,26,0,0,0,0,0,0,0
u6497,0,0,0,3,0,0,0,0
u653854,3,3,0,85,0,0,0,16
u654834,44,2,0,2,11,0,0,1
u658409,0,0,0,1,0,0,0,0
u659542,1,0,0,0,0,0,0,0
u6622,0,0,0,5,0,0,5,0
u688967,0,0,0,5,0,0,0,0
u703612,1,1,0,11,2,0,1,0
u733204,3,8,1,110,0,0,0,1
u7358,0,0,0,1,0,0,0,0
u736734,0,1,3,119,4,0,14,0
u743088,0,0,1,20,2,0,5,0
u7529,1,0,0,55,0,0,0,21
u754,0,0,0,0,0,0,1,0
u7892,0,0,0,1,0,0,0,0
u7986,14,108,5,1457,44,3,66,26044
u8030,0,0,0,3,1,0,0,0
u8055,0,0,0,1,0,0,0,0
u811277,0,0,0,4,0,0,2,0
u814919,4,0,0,4,0,0,0,1
u821211,0,0,0,1,0,0,0,0
u8238,1,0,0,125,3,2,4,0
u827875,0,0,0,0,1,0,0,0
u8408,0,0,0,4,0,0,0,0
u851981,0,1,0,1,0,0,0,0
u8520,0,0,0,1,0,0,0,0
u885735,0,1,0,3,1,0,0,0
u896319,1,3,0,16,0,0,5,0
u905860,0,1,0,0,0,0,4,0
u906831,1,0,0,0,14,0,0,0
u913280,3,1,0,16,0,0,1,3
u915510,0,0,0,1,0,0,0,0
u916774,0,1,0,1,0,0,0,1
u916935,0,0,0,2,0,0,0,0
u942877,0,1,0,0,0,0,0,0
u9527,0,0,0,2,0,0,0,0
u956923,0,0,0,0,0,0,0,1
u972008,0,1,0,0,0,0,0,0
u972337,0,1,0,0,0,0,0,0
u978470,5,0,0,0,0,0,0,0
u988516,0,0,0,0,0,0,2,0
u994,0,2,4,9,0,0,0,0
u99531,3,10,0,231,24,0,3,14
u997851,0,0,0,4,0,0,0,0
