sourceAppId,Non-vertebrate,Vertebrate
u1013662,0,1
u10830,0,1
u111830,0,1
u118871,1,0
u12303,0,1
u14724,1,0
u149303,7,5
u15161,0,1
u15499,1,0
u16025,0,1
u164307,6,2
u16477,0,2
u16483,0,1
u1680,4,3
u17071,1,0
u17107,0,1
u17125,3,2
u17460,0,1
u17854,0,2
u1831,3,3
u18450,36,11
u18463,0,1
u18583,0,2
u18951,2,0
u19445,0,1
u1958,8,3
u19626,0,1
u19742,2,1
u19952,0,1
u2133,0,1
u21349,1,0
u21450,0,1
u217989,2,3
u22735,0,1
u23058,0,1
u232730,0,1
u23531,0,2
u23650,1,2
u239287,6,12
u24285,7,3
u24454,0,1
u25189,0,1
u253503,1,0
u2539,1,0
u2562,1,1
u259922,4,4
u26670,0,1
u2740,5,1
u29504,1,0
u29610,2,3
u3171,0,1
u3243,1,3
u3250,1,2
u3278,2,5
u3632,0,2
u36766,1,1
u3729,1,1
u37868,2,2
u37877,2,2
u38034,1,1
u389350,0,1
u39811,1,2
u4011,1,0
u416424,0,1
u4497,1,1
u452313,1,0
u4543,3,2
u460607,0,1
u483645,1,4
u4902,0,1
u514679,1,0
u5284,2,0
u561267,0,1
u569572,1,0
u582294,0,1
u583895,1,0
u6152,4,5
u617110,1,0
u6173,0,1
u628596,2,2
u6346,0,3
u6359,1,1
u6381,0,1
u649358,2,0
u6497,0,1
u653854,3,1
u654834,8,3
u658409,0,1
u659542,1,0
u6622,1,2
u688967,0,2
u703612,3,5
u733204,4,3
u7358,0,1
u736734,6,4
u743088,3,4
u7529,2,1
u754,1,0
u7892,0,1
u7986,38,13
u8030,1,1
u8055,0,1
u811277,2,2
u814919,2,2
u821211,0,1
u8238,5,2
u827875,0,1
u8408,0,3
u851981,1,1
u8520,0,1
u885735,1,2
u896319,5,2
u905860,4,0
u906831,2,0
u913280,4,5
u915510,0,1
u916774,2,1
u916935,0,1
u942877,1,0
u9527,0,1
u956923,1,0
u972008,1,0
u972337,1,0
u978470,1,0
u988516,1,0
u994,3,1
u99531,9,12
u997851,0,3
