sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1010160,0,0,0,1,0,0,0,0
u1021716,0,0,0,0,0,0,0,1
u1041,0,1,0,1,0,0,0,1
u1044971,1,0,0,0,0,0,0,0
u1058528,1,0,0,0,0,0,0,0
u1059371,0,0,0,0,1,0,0,0
u1095,0,2,1,3,1,0,1,1
u11178,0,0,0,0,1,0,0,0
u11435,0,1,0,0,0,0,0,0
u11550,0,0,0,1,0,0,0,0
u118068,0,1,0,0,0,0,0,0
u12233,0,0,0,1,0,0,0,0
u123944,0,2,0,0,0,0,0,1
u126467,0,3,0,1,0,0,0,0
u126989,0,0,0,0,0,0,2,0
u12737,0,0,0,1,0,0,0,0
u127846,0,0,0,2,0,0,0,0
u128,0,2,0,1,0,0,0,2
u1297,0,3,0,6,5,0,0,1
u131402,0,0,0,0,0,0,0,1
u13577,0,0,0,1,0,0,0,0
u142278,0,0,0,1,0,0,0,0
u148722,0,0,0,1,0,0,0,0
u1513,0,1,0,2,0,0,0,1
u151385,1,0,0,1,0,0,0,1
u15152,0,0,0,1,0,0,0,0
u1631,1,0,0,1,0,0,1,0
u163316,0,1,0,0,0,0,0,0
u166714,0,0,0,1,0,0,1,1
u16704,0,0,0,3,3,0,2,2
u16775,0,1,0,1,0,0,1,1
u174487,0,0,0,1,0,0,0,0
u179620,0,0,0,0,0,0,2,0
u17974,0,0,0,1,0,0,0,0
u181959,0,0,0,0,1,0,0,0
u18285,0,1,0,1,0,0,0,0
u184946,0,1,0,0,0,0,0,0
u189592,0,0,0,0,1,0,0,0
u19204,0,1,0,1,0,0,0,0
u19341,0,0,0,1,0,0,0,0
u19525,0,0,0,0,0,0,1,0
u198165,0,0,0,1,0,0,0,0
u207044,12,35,20,14,40,3,27,8
u217334,0,0,0,0,0,0,1,0
u217468,1,0,0,0,0,0,0,0
u218034,0,1,0,0,0,0,0,0
u22583,0,0,0,0,0,0,1,0
u230477,0,0,0,0,0,0,0,1
u230586,0,0,0,3,1,0,0,1
u23264,0,0,0,1,1,0,0,1
u2371,0,0,0,2,0,0,0,0
u23818,0,0,0,0,1,0,0,0
u238237,1,0,0,1,0,0,0,1
u23964,0,1,0,0,0,0,0,1
u24052,0,0,0,2,0,0,0,0
u240559,1,0,0,1,0,0,0,0
u240772,1,1,0,4,0,0,0,1
u242765,0,1,0,1,0,0,0,0
u24280,0,0,0,1,0,0,0,0
u250044,2,0,0,0,0,0,0,0
u25022,0,0,0,0,1,0,1,1
u25198,0,0,0,0,2,0,0,0
u255311,0,0,0,0,0,0,1,0
u25668,0,0,0,0,0,0,0,1
