sourceAppId,Anthropod,Bacteria,Fungi,Mammal,Other,Parasite,Plant,Virus
u1010160,0,0,0,2,0,0,0,0
u1013662,0,0,0,1,0,0,0,0
u1021716,0,0,0,0,0,0,0,1
u1041,0,10,0,121,0,0,0,2
u1044971,1,0,0,0,0,0,0,0
u1058528,2,0,0,0,0,0,0,0
u1059371,0,0,0,0,3,0,0,0
u10830,0,0,0,1,0,0,0,0
u1095,0,20,17,40,2,0,3,1
u11178,0,0,0,0,1,0,0,0
u111830,0,0,0,0,3,0,0,0
u11435,0,1,0,0,0,0,0,0
u11550,0,0,0,1,0,0,0,0
u118068,0,2,0,0,0,0,0,0
u118871,0,0,0,0,0,0,3,0
u12233,0,0,0,3,0,0,0,0
u12303,0,0,0,1,0,0,0,0
u123944,0,2,0,0,0,0,0,5
u126467,0,8,0,3,0,0,0,0
u126989,0,0,0,0,0,0,2,0
u12737,0,0,0,4,0,0,0,0
u127846,0,0,0,2,0,0,0,0
u128,0,8,0,2,0,0,0,5
u1297,0,6,0,76,23,0,0,5
u131402,0,0,0,0,0,0,0,5
u13577,0,0,0,1,0,0,0,0
u142278,0,0,0,1,0,0,0,0
u14724,1,0,0,0,0,0,0,0
u148722,0,0,0,17,0,0,0,0
u149303,1,4,2,25,1,0,2,1
u1513,0,2,0,10,0,0,0,1
u151385,5,0,0,10,0,0,0,1
u15152,0,0,0,1,0,0,0,0
u15161,0,0,0,0,1,0,0,0
u15499,0,0,0,0,0,0,9,0
u16025,0,0,0,1,0,0,0,0
u1631,4,0,0,16,0,0,1,0
u163316,0,6,0,0,0,0,0,0
u164307,0,2,0,3,0,0,4,1
u16477,0,0,0,6,0,0,0,0
u16483,0,0,0,1,0,0,0,0
u166714,0,0,0,1,0,0,1,1
u16704,0,0,0,43,29,0,3,4
u16775,0,1,0,1,0,0,1,1
u1680,1,0,0,239,0,0,8,0
u17071,0,0,0,0,0,0,0,1
u17107,0,0,0,0,1,0,0,0
u17125,0,1,0,36,1,0,2,0
u174487,0,0,0,1,0,0,0,0
u17460,0,0,0,18,0,0,0,0
u17854,0,0,0,11,0,0,0,0
u179620,0,0,0,0,0,0,121,0
u17974,0,0,0,1,0,0,0,0
u181959,0,0,0,0,1,0,0,0
u18285,0,1,0,1,0,0,0,0
u1831,0,3,0,9,0,0,0,1
u18450,12,18,24,1589,52,2,132,1
u18463,0,0,0,2,0,0,0,0
u184946,0,1,0,0,0,0,0,0
u18583,0,0,0,2,0,0,0,0
u18951,1,1,0,0,0,0,0,0
u189592,0,0,0,0,2,0,0,0
u19204,0,1,0,4,0,0,0,0
u19341,0,0,0,2,0,0,0,0
u19445,0,0,0,1,0,0,0,0
u19525,0,0,0,0,0,0,4,0
u1958,1,4,0,23,0,0,3,1
u19626,0,0,0,2,0,0,0,0
u19742,0,1,1,1,0,0,0,0
