sample,condition
u1010160,True
u1021716,True
u1041,True
u1044971,True
u1058528,True
u1059371,True
u1095,True
u11178,True
u11435,True
u11550,True
u118068,True
u12233,True
u123944,True
u126467,True
u126989,True
u12737,True
u127846,True
u128,True
u1297,True
u131402,True
u13577,True
u142278,True
u148722,True
u1513,True
u151385,True
u15152,True
u1631,True
u163316,True
u166714,True
u16704,True
u16775,True
u174487,True
u179620,True
u17974,True
u181959,True
u18285,True
u184946,True
u189592,True
u19204,True
u19341,True
u19525,True
u198165,True
u207044,True
u217334,True
u217468,True
u218034,True
u22583,True
u230477,True
u230586,True
u23264,True
u2371,True
u23818,True
u238237,True
u23964,True
u24052,True
u240559,True
u240772,True
u242765,True
u24280,True
u250044,True
u25022,True
u25198,True
u255311,True
u25668,True
u258,True
u258874,True
u259712,True
u2598,True
u26157,True
u26426,True
u26638,True
u26958,True
u2716,True
u273894,True
u278844,True
u2793,True
u2833,True
u283774,True
u283925,True
u285409,True
u287478,True
u291146,True
u291421,True
u29609,True
u303211,True
u3166,True
u3234,True
u345572,True
u351616,True
u3548,True
u383314,True
u38509,True
u405,True
u45333,True
u4537,True
u464317,True
u4842,True
u48874,True
u491643,True
u501325,True
u516495,True
u54306,True
u547455,True
u54781,True
u548,True
u550,True
u5525,True
u592303,True
u602,True
u6048,True
u6076,True
u618960,True
u626280,True
u63187,True
u632416,True
u6438,True
u646907,True
u6549,True
u655859,True
u687848,True
u691399,True
u694014,True
u698555,True
u703,True
u703398,True
u708769,True
u7106,True
u7112,True
u71199,True
u7120,True
u712143,True
u718542,True
u7256,True
u72811,True
u741,True
u748646,True
u7492,True
u759354,True
u760703,True
u761698,True
u781489,True
u781695,True
u792303,True
u800160,True
u820616,True
u823709,True
u824,True
u829404,True
u831531,True
u845135,True
u850318,True
u8555,True
u856126,True
u8613,True
u8719,True
u883540,True
u9003,True
u902785,True
u906969,True
u914141,True
u921774,True
u928419,True
u943,True
u94624,True
u948716,True
u955577,True
u961361,True
u975858,True
u977953,True
u987572,True
u99287,True
