sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u16025,False,0,0,1
u8200,False,0,0,0
u7120,True,3.0,1.3227513227513226,2
u613645,True,0,0,0
u38502,True,0,0,0
u12303,False,0,0,1
u7492,True,36.0,3.5732585841803357,5
u45333,True,0,0,1
u997851,False,5.0,1.645525483823076,3
u6622,False,37.0,2.5055074753079953,3
u6048,True,32.0,2.8024128489104356,3
u286260,True,0,0,0
u892960,True,0,0,0
u943,True,0,0,1
u9975,False,0,0,0
u913280,False,31.0,5.523471056807111,9
u187822,False,0,0,0
u898099,False,0,0,0
u229982,False,0,0,0
u18951,False,23.0,1.9882633646595178,2
u1056565,False,0,0,0
u9230,True,0,0,0
u777054,True,0,0,0
u23058,False,0,0,1
u17460,False,0,0,1
u24766,True,0,0,0
u413034,False,0,0,0
u1073168,False,0,0,0
u823254,False,0,0,0
u503605,False,0,0,0
u115522,False,0,0,0
u953210,False,0,0,0
u1034026,False,0,0,0
u17442,False,0,0,0
u486314,False,0,0,0
u484236,False,0,0,0
u19952,False,0,0,1
u24454,False,0,0,1
u18463,False,0,0,1
u550,True,0,0,1
u28728,False,0,0,0
u17481,True,0,0,0
u7529,False,30.0,2.974497472601724,3
u956923,False,0,0,1
u653854,False,31.0,3.812786456584904,4
u16954,True,0,0,0
u833164,True,0,0,0
u21161,False,0,0,0
u9003,True,25.0,1.9924726511473498,2
u998254,True,0,0,0
u286560,True,0,0,0
u258874,True,0,0,1
u283774,True,0,0,1
u85253,True,0,0,0
u95886,True,0,0,0
u174326,True,0,0,0
u250044,True,14.0,1.9157446588689526,2
u800160,True,0,0,1
u1054555,True,0,0,0
u623416,True,0,0,0
u977953,True,27.0,1.9951759605332737,2
u726938,True,0,0,0
u199659,True,0,0,0
u217334,True,0,0,1
u570343,True,0,0,0
u2833,True,35.0,7.415524538532714,10
u383314,True,28.0,1.9961389058195478,2
u291421,True,0,0,1
u954037,True,0,0,0
u217152,True,0,0,0
u179620,True,10.0,1.8060742536596093,2
u217598,True,0,0,0
u278844,True,0,0,1
u237274,True,0,0,0
u48874,True,0,0,1
u8408,False,5.0,1.6342938625523074,3
u22509,False,0,0,0
u16483,False,0,0,1
u2793,True,2.0,1.219512195121951,2
u25569,True,0,0,0
u23246,True,0,0,0
u7290,True,0,0,0
u388976,False,0,0,0
u483645,False,31.0,3.611856692345051,5
u3278,False,35.0,5.499852026245227,7
u17557,True,0,0,0
u3295,True,0,0,0
u21412,True,0,0,0
u13023,True,0,0,0
u17974,True,0,0,1
u955577,True,26.0,1.9939735846247937,2
u17968,False,0,0,0
u20538,False,0,0,0
u126989,True,10.0,1.8060742536596093,2
u255311,True,0,0,1
u104919,True,0,0,0
u165396,True,0,0,0
u183355,True,0,0,0
u703,True,37.0,5.868069630278004,8
u100580,True,0,0,0
u189592,True,0,0,1
u646907,True,26.0,1.9939735846247937,2
u695856,True,0,0,0
u38985,True,0,0,0
u2598,True,37.0,4.728182921901133,5
u20904,False,0,0,0
u658409,False,0,0,1
u1300,True,0,0,0
u10830,False,0,0,1
u22180,False,0,0,0
u17980,False,0,0,0
u17071,False,0,0,1
u29006,False,0,0,0
u8807,False,0,0,0
u29504,False,0,0,1
u574468,True,0,0,0
u8107,True,0,0,0
u111830,False,0,0,1
u7986,False,42.0,16.949817367792313,51
u4758,False,0,0,0
u602,True,32.0,3.911479999303367,5
u21664,False,0,0,0
u4543,False,31.0,4.0651276458287064,5
