nodeId,appId,palmId,numPalmprints
7687472,u128,u128,90
7687950,u258,u258,11
7688419,u405,u405,32
7692194,u548,u548,12
7692207,u550,u550,15
7692712,u602,u602,8
7692881,u703,u703,160
7693113,u741,u741,162
7693288,u754,u754,7
7693578,u824,u824,10
7693712,u943,u943,4
7695337,u994,u994,81
7695498,u1041,u1041,210
7695805,u1095,u1095,367
7696641,u1297,u1297,65
7696738,u1300,u1300,4
7696998,u1513,u1513,10
7697498,u1620,u1620,6
7697506,u1631,u1631,80
7697617,u1680,u1680,217
7698115,u1801,u1801,5
7698127,u1831,u1831,127
7698370,u1958,u1958,174
7698675,u1971,u1971,24
7700742,u2083,u2083,2
7700762,u2133,u2133,4
7701605,u2371,u2371,2
7701610,u2384,u2384,3
7701773,u2449,u2449,2
7702072,u2539,u2539,6
7702085,u2562,u2562,4
7702134,u2598,u2598,42
7702441,u2716,u2716,20
7702489,u2740,u2740,20
7702882,u2793,u2793,42
7702942,u2833,u2833,29
7703543,u3166,u3166,3
7703546,u3171,u3171,16
7703744,u3234,u3234,19
7703781,u3243,u3243,28
7703823,u3250,u3250,23
7703875,u3278,u3278,86
7703962,u3295,u3295,1
7704271,u3548,u3548,5
7704606,u3632,u3632,50
7704793,u3729,u3729,39
7704918,u3824,u3824,3
7705289,u4011,u4011,3
7706517,u4497,u4497,6
7706574,u4537,u4537,3
7706577,u4543,u4543,93
7706759,u4687,u4687,13
7706842,u4758,u4758,1
7706870,u4842,u4842,5
7706957,u4902,u4902,3
7707286,u5029,u5029,1
7707348,u5157,u5157,1
7707378,u5172,u5172,3
7707433,u5190,u5190,1
7707513,u5265,u5265,1
7707545,u5284,u5284,1
7707781,u5475,u5475,2
7708118,u5523,u5523,1
7708119,u5525,u5525,2
7708121,u5536,u5536,4
7708597,u5828,u5828,1
7708698,u6048,u6048,13
7708749,u6076,u6076,1
7708808,u6152,u6152,5
7708882,u6173,u6173,44
7709055,u6331,u6331,1
7709063,u6346,u6346,13
7709076,u6349,u6349,2
7709078,u6359,u6359,4
7709103,u6381,u6381,1
7709137,u6438,u6438,20
