sourceNodeId,sourceAppId,countSRA,countBioProject
7687472,u128,143,47
7687950,u258,204,25
7688419,u405,206,145
7692194,u548,109,40
7692207,u550,24,10
7692712,u602,48,40
7692881,u703,480,181
7693113,u741,880,168
7693288,u754,199,45
7693578,u824,451,284
7693712,u943,16,9
7695337,u994,69,31
7695498,u1041,269,51
7695805,u1095,1706,163
7696641,u1297,623,245
7696738,u1300,3,3
7696998,u1513,138,65
7697498,u1620,28,14
7697506,u1631,155,73
7697617,u1680,1781,206
7698115,u1801,15,5
7698127,u1831,623,122
7698370,u1958,494,120
7698675,u1971,24,18
7700762,u2133,25,21
7701605,u2371,67,36
7701773,u2449,40,4
7702072,u2539,12,10
7702085,u2562,11,8
7702134,u2598,188,60
7702441,u2716,330,62
7702489,u2740,107,72
7702882,u2793,608,70
7702942,u2833,283,111
7703543,u3166,18,14
7703546,u3171,52,23
7703744,u3234,31,13
7703781,u3243,145,66
7703823,u3250,94,26
7703875,u3278,297,141
7704271,u3548,11,6
7704606,u3632,202,47
7704793,u3729,111,45
7704918,u3824,19,4
7705289,u4011,2,2
7706517,u4497,61,24
7706574,u4537,11,11
7706577,u4543,333,95
7706759,u4687,78,16
7706870,u4842,70,38
7706957,u4902,2,2
7707378,u5172,3,3
7707781,u5475,16,10
7708119,u5525,11,10
7708121,u5536,7,6
7708698,u6048,48,13
7708808,u6152,987,199
7708882,u6173,164,80
7709063,u6346,64,25
7709076,u6349,21,17
7709078,u6359,29,21
7709137,u6438,78,38
7709208,u6497,21,15
7709244,u6549,31,14
7709449,u6622,90,43
7709716,u6845,31,5
7709940,u6944,3,3
7710320,u7106,638,67
7710347,u7112,32,23
7710432,u7120,83,20
7711350,u7256,161,45
7711410,u7290,12,5
7712523,u7492,117,37
7712590,u7529,93,47
7713488,u7892,31,17
7713664,u7986,52742,1086
7713904,u8030,99,47
7713979,u8055,51,29
7714087,u8107,9,8
7714332,u8200,16,8
7714377,u8238,802,135
7714661,u8408,50,33
7714938,u8520,52,10
7714985,u8555,211,73
7715198,u8613,208,74
7715224,u8640,52,13
7715934,u9003,20,18
7716181,u9230,5,3
7716325,u9322,8,6
7716618,u9527,13,13
7717107,u9975,63,40
7718083,u10830,3,3
7718812,u11178,93,21
7719558,u11435,20,12
7719616,u11550,44,15
7720436,u12233,42,19
7720969,u12737,86,36
7720987,u12743,2,2
7721666,u13498,24,15
7722954,u15152,69,4
7723601,u15499,33,31
7723905,u15992,21,3
7723908,u16025,13,11
7724613,u16477,38,21
7724628,u16491,3,3
7725039,u16688,52,30
7725078,u16704,577,202
7725156,u16775,740,55
7725218,u16791,22,6
7725435,u16954,18,8
7725795,u17071,12,4
7725917,u17107,15,10
7725949,u17125,516,103
7726917,u17442,8,8
7727173,u17481,9,6
7727198,u17499,9,9
7727208,u17501,5,4
7727371,u17557,8,5
7728067,u17854,242,68
7728215,u17968,5,5
7728218,u17974,9,7
7728232,u17980,5,5
7728942,u18285,19,14
7729255,u18450,5688,1412
7729343,u18463,131,27
7729555,u18583,22,12
7730258,u18720,18,4
7731020,u19204,86,23
7731808,u19525,9,9
7732032,u19742,7,7
7735217,u19952,53,25
7735238,u19955,2,2
7736038,u20538,4,4
7736659,u20904,15,10
7738154,u21412,13,7
7739053,u21558,13,10
7739420,u21664,10,9
7741391,u22583,130,36
7741706,u22735,39,21
7742319,u23058,21,16
7742712,u23246,17,9
7742715,u23264,177,54
7743098,u23519,2,2
7743256,u23650,32,24
7743429,u23780,5,5
7743461,u23818,25,14
7743586,u23964,179,46
7743870,u24052,879,22
7743961,u24121,41,26
7744076,u24190,11,9
7744193,u24280,42,9
7744199,u24285,890,165
7745425,u24454,33,17
7746147,u24766,8,2
7746602,u24970,4,4
7746810,u25022,202,46
7747057,u25165,7,7
7747073,u25189,10,8
7747083,u25198,118,55
7747790,u25569,7,7
7747934,u25666,5,4
7747937,u25668,156,51
7749040,u26157,5,4
7749345,u26426,309,90
7749576,u26638,24,15
7749643,u26670,17,9
7750054,u26958,28,14
7751632,u28250,48,8
7752713,u29504,69,18
7752969,u29609,40,21
7752992,u29610,310,109
7763321,u36766,33,24
7766399,u37868,167,52
7767501,u38034,14,12
7768802,u38502,12,9
7768822,u38509,26,16
7769353,u38985,20,13
7770258,u39248,22,4
7771720,u39811,74,28
7791218,u48874,16,8
7803064,u54306,81,20
7803923,u54781,16,12
7813770,u59849,22,13
7819027,u63187,150,44
7834426,u71199,137,41
7854483,u82622,42,28
7858962,u85253,9,3
7860156,u85830,23,8
7868475,u90904,12,12
7869239,u91440,14,14
7874524,u94624,4,2
