nodeId,appId,taxId,labels,taxRank,taxOrder,isVertebrate
8755906,29,29,['Taxon'],order,Myxococcales,False
8756157,356,356,['Taxon'],order,Hyphomicrobiales,False
8756954,1385,1385,['Taxon'],order,Bacillales,False
8757513,2085,2085,['Taxon'],order,Mycoplasmatales,False
8758279,3042,3042,['Taxon'],order,Chlamydomonadales,False
8758425,3215,3215,['Taxon'],order,Funariales,False
8758678,3502,3502,['Taxon'],order,Fagales,False
8758804,3646,3646,['Taxon'],order,Malpighiales,False
8758852,3699,3699,['Taxon'],order,Brassicales,False
8758892,3744,3744,['Taxon'],order,Rosales,False
8759158,4036,4036,['Taxon'],order,Apiales,False
8759188,4069,4069,['Taxon'],order,Solanales,False
8759249,4143,4143,['Taxon'],order,Lamiales,False
8759313,4209,4209,['Taxon'],order,Asterales,False
8759655,4618,4618,['Taxon'],order,Zingiberales,False
8759893,4892,4892,['Taxon'],order,Saccharomycetales,False
8759971,5014,5014,['Taxon'],order,Dothideales,False
8759989,5042,5042,['Taxon'],order,Eurotiales,False
8760044,5125,5125,['Taxon'],order,Hypocreales,False
8760086,5178,5178,['Taxon'],order,Helotiales,False
8760209,5338,5338,['Taxon'],order,Agaricales,False
8760558,5819,5819,['Taxon'],order,Haemosporida,False
8760778,6103,6103,['Taxon'],order,Actiniaria,False
8760844,6180,6180,['Taxon'],order,Strigeidida,False
8760896,6236,6236,['Taxon'],order,Rhabditida,False
8761158,6562,6562,['Taxon'],order,Ostreida,False
8761217,6638,6638,['Taxon'],order,Octopoda,False
8761254,6683,6683,['Taxon'],order,Decapoda,False
8761437,6893,6893,['Taxon'],order,Araneae,False
8761470,6935,6935,['Taxon'],order,Ixodida,False
8761558,7041,7041,['Taxon'],order,Coleoptera,False
8761599,7088,7088,['Taxon'],order,Lepidoptera,False
8761645,7147,7147,['Taxon'],order,Diptera,False
8761827,7399,7399,['Taxon'],order,Hymenoptera,False
8761918,7524,7524,['Taxon'],order,Hemiptera,False
8762248,7952,7952,['Taxon'],order,Cypriniformes,True
8762280,7995,7995,['Taxon'],order,Siluriformes,True
8762290,8006,8006,['Taxon'],order,Salmoniformes,True
8762383,8111,8111,['Taxon'],order,Perciformes,True
8762491,8252,8252,['Taxon'],order,Pleuronectiformes,True
8762657,8459,8459,['Taxon'],order,Testudines,True
8762699,8509,8509,['Taxon'],order,Squamata,True
8762959,8826,8826,['Taxon'],order,Anseriformes,True
8763051,8929,8929,['Taxon'],order,Columbiformes,True
8763096,8976,8976,['Taxon'],order,Galliformes,True
8763217,9126,9126,['Taxon'],order,Passeriformes,True
8763414,9362,9362,['Taxon'],order,Eulipotyphla,True
8763442,9392,9392,['Taxon'],order,Scandentia,True
8763446,9397,9397,['Taxon'],order,Chiroptera,True
8763487,9443,9443,['Taxon'],order,Primates,True
8763782,9787,9787,['Taxon'],order,Perissodactyla,True
8763925,9971,9971,['Taxon'],order,Pholidota,True
8763929,9975,9975,['Taxon'],order,Lagomorpha,True
8763941,9989,9989,['Taxon'],order,Rodentia,True
8764832,11157,11157,['Taxon'],order,Mononegavirales,False
8768230,28738,28738,['Taxon'],order,Cyprinodontiformes,True
8769916,31022,31022,['Taxon'],order,Tetraodontiformes,True
8770057,31277,31277,['Taxon'],order,Hymenostomatida,False
8771537,33554,33554,['Taxon'],order,Carnivora,True
8774096,36750,36750,['Taxon'],order,Glomerales,False
8775680,38605,38605,['Taxon'],order,Didelphimorphia,True
8775817,38748,38748,['Taxon'],order,Naviculales,False
8775876,38820,38820,['Taxon'],order,Poales,False
8777348,40551,40551,['Taxon'],order,Arecales,False
8777909,41166,41166,['Taxon'],order,Valvatida,False
8778578,41937,41937,['Taxon'],order,Sapindales,False
8778579,41938,41938,['Taxon'],order,Malvales,False
8778581,41944,41944,['Taxon'],order,Myrtales,False
8778582,41945,41945,['Taxon'],order,Ericales,False
8803538,71239,71239,['Taxon'],order,Cucurbitales,False
8804246,72025,72025,['Taxon'],order,Fabales,False
8804468,72274,72274,['Taxon'],order,Pseudomonadales,False
8805581,73496,73496,['Taxon'],order,Asparagales,False
8807528,75739,75739,['Taxon'],order,Eucoccidiorida,False
8808502,76804,76804,['Taxon'],order,Nidovirales,False
8812122,80840,80840,['Taxon'],order,Burkholderiales,False
8814080,83136,83136,['Taxon'],order,Trombidiformes,False
8815773,85007,85007,['Taxon'],order,Mycobacteriales,False
8816488,85823,85823,['Taxon'],order,Blattodea,False
8821359,91347,91347,['Taxon'],order,Enterobacterales,False
8821550,91561,91561,['Taxon'],order,Artiodactyla,True
8824373,94695,94695,['Taxon'],order,Methanosarcinales,False
8834326,106218,106218,['Taxon'],order,Pectinida,False
8854850,129912,129912,['Taxon'],order,Syngnathiformes,True
8859896,135614,135614,['Taxon'],order,Xanthomonadales,False
8859905,135623,135623,['Taxon'],order,Vibrionales,False
8859906,135624,135624,['Taxon'],order,Aeromonadales,False
8859907,135625,135625,['Taxon'],order,Pasteurellales,False
8891608,171549,171549,['Taxon'],order,Bacteroidales,False
8905531,186802,186802,['Taxon'],order,Eubacteriales,False
8905550,186826,186826,['Taxon'],order,Lactobacillales,False
8907919,189479,189479,['Taxon'],order,Orbiliales,False
8920499,203491,203491,['Taxon'],order,Fusobacteriales,False
8923155,206351,206351,['Taxon'],order,Neisseriales,False
8929917,213849,213849,['Taxon'],order,Campylobacterales,False
8946366,232378,232378,['Taxon'],order,Proteales,False
9095232,403667,403667,['Taxon'],order,Vitales,False
9149498,464095,464095,['Taxon'],order,Picornavirales,False
9307270,675063,675063,['Taxon'],order,Tymovirales,False
9546504,1028384,1028384,['Taxon'],order,Glomerellales,False
10302863,1890424,1890424,['Taxon'],order,Synechococcales,False
10381874,1980410,1980410,['Taxon'],order,Bunyavirales,False
10542956,2169561,2169561,['Taxon'],order,Ortervirales,False
10827134,2499411,2499411,['Taxon'],order,Articulavirales,False
11005570,2704949,2704949,['Taxon'],order,Trypanosomatida,False
11030243,2732414,2732414,['Taxon'],order,Petitvirales,False
11030334,2732515,2732515,['Taxon'],order,Blubervirales,False
11030346,2732527,2732527,['Taxon'],order,Chitovirales,False
11030353,2732534,2732534,['Taxon'],order,Piccovirales,False
11030355,2732536,2732536,['Taxon'],order,Cirlivirales,False
11030360,2732541,2732541,['Taxon'],order,Reovirales,False
11030363,2732544,2732544,['Taxon'],order,Martellivirales,False
11030364,2732545,2732545,['Taxon'],order,Amarillovirales,False
11030370,2732551,2732551,['Taxon'],order,Stellavirales,False
11161498,2887326,2887326,['Taxon'],order,Moraxellales,False
11172182,2899670,2899670,['Taxon'],order,Balanomorpha,False
8755987,136,136,['Taxon'],order,Spirochaetales,False
8756749,1118,1118,['Taxon'],order,Chroococcales,False
8756767,1150,1150,['Taxon'],order,Oscillatoriales,False
8756776,1161,1161,['Taxon'],order,Nostocales,False
8757480,2037,2037,['Taxon'],order,Actinomycetales,False
8757581,2158,2158,['Taxon'],order,Methanobacteriales,False
8757681,2281,2281,['Taxon'],order,Sulfolobales,False
