nodeId,appId,taxId,labels,taxRank,taxOrder,hostClass
8755906,29,29,['Taxon'],order,Myxococcales,Bacteria
8756157,356,356,"['Taxon', 'Host']",order,Hyphomicrobiales,Bacteria
8756954,1385,1385,['Taxon'],order,Bacillales,Bacteria
8757513,2085,2085,['Taxon'],order,Mycoplasmatales,Bacteria
8758279,3042,3042,['Taxon'],order,Chlamydomonadales,Plant
8758425,3215,3215,['Taxon'],order,Funariales,Plant
8758678,3502,3502,['Taxon'],order,Fagales,Plant
8758804,3646,3646,['Taxon'],order,Malpighiales,Plant
8758852,3699,3699,['Taxon'],order,Brassicales,Plant
8758892,3744,3744,['Taxon'],order,Rosales,Plant
8759158,4036,4036,['Taxon'],order,Apiales,Plant
8759188,4069,4069,['Taxon'],order,Solanales,Plant
8759249,4143,4143,['Taxon'],order,Lamiales,Plant
8759313,4209,4209,['Taxon'],order,Asterales,Plant
8759655,4618,4618,['Taxon'],order,Zingiberales,Plant
8759893,4892,4892,['Taxon'],order,Saccharomycetales,Fungi
8759971,5014,5014,['Taxon'],order,Dothideales,Fungi
8759989,5042,5042,['Taxon'],order,Eurotiales,Fungi
8760044,5125,5125,"['Taxon', 'Host']",order,Hypocreales,Fungi
8760086,5178,5178,['Taxon'],order,Helotiales,Fungi
8760209,5338,5338,"['Taxon', 'Host']",order,Agaricales,Fungi
8760558,5819,5819,['Taxon'],order,Haemosporida,Parasite
8760778,6103,6103,"['Taxon', 'Host']",order,Actiniaria,Other
8760844,6180,6180,['Taxon'],order,Strigeidida,Other
8760896,6236,6236,['Taxon'],order,Rhabditida,Other
8761158,6562,6562,['Taxon'],order,Ostreida,Other
8761217,6638,6638,['Taxon'],order,Octopoda,Other
8761254,6683,6683,['Taxon'],order,Decapoda,Anthropod
8761437,6893,6893,['Taxon'],order,Araneae,Anthropod
8761470,6935,6935,['Taxon'],order,Ixodida,Anthropod
8761558,7041,7041,"['Taxon', 'Host']",order,Coleoptera,Anthropod
8761599,7088,7088,"['Taxon', 'Host']",order,Lepidoptera,Anthropod
8761645,7147,7147,"['Taxon', 'Host']",order,Diptera,Anthropod
8761827,7399,7399,"['Taxon', 'Host']",order,Hymenoptera,Anthropod
8761918,7524,7524,"['Taxon', 'Host']",order,Hemiptera,Anthropod
8762248,7952,7952,['Taxon'],order,Cypriniformes,Other
8762280,7995,7995,['Taxon'],order,Siluriformes,Other
8762290,8006,8006,['Taxon'],order,Salmoniformes,Other
8762383,8111,8111,['Taxon'],order,Perciformes,Other
8762491,8252,8252,"['Taxon', 'Host']",order,Pleuronectiformes,Other
8762657,8459,8459,['Taxon'],order,Testudines,Other
8762699,8509,8509,"['Taxon', 'Host']",order,Squamata,Other
8762959,8826,8826,['Taxon'],order,Anseriformes,Other
8763051,8929,8929,['Taxon'],order,Columbiformes,Other
8763096,8976,8976,['Taxon'],order,Galliformes,Other
8763217,9126,9126,"['Taxon', 'Host']",order,Passeriformes,Other
8763414,9362,9362,['Taxon'],order,Eulipotyphla,Mammal
