,targetAppId
9606,217
256318,211
1070528,195
410658,191
749906,188
527639,156
10090,137
749907,114
408172,113
408170,103
449393,90
1176744,85
1510822,83
2173186,83
646099,79
1861841,74
9823,73
1540733,67
939928,59
1540736,57
64320,51
1561972,51
9913,50
1263854,49
9031,49
1169740,49
1325974,47
1631306,43
9544,43
1647806,41
28875,40
942017,39
9825,38
506599,37
138950,37
1213622,36
1631307,35
556182,33
1799672,32
1521111,32
412755,32
1297885,31
717931,31
12083,30
9925,29
12081,29
9940,29
1076179,28
1131769,28
4577,28
718308,27
10116,26
1118232,26
433733,26
506600,26
7955,25
7227,25
3702,24
718289,23
3847,22
1115523,22
1631310,22
410661,22
1218275,22
447426,21
9615,21
1595979,20
1631311,20
8839,20
4530,20
1235509,20
11320,20
7159,19
1850221,19
562,19
1504969,19
771787,19
4565,18
1592332,18
496923,18
11082,18
1504975,17
30521,17
9796,17
37124,17
539655,17
9541,17
2697049,17
1649191,16
1833763,16
9555,16
1711999,15
2489051,15
1234904,15
4081,14
9986,14
415978,14
10036,14
1441287,13
4932,13
1904483,13
655179,12
870726,12
1642954,12
1564682,12
7160,12
400198,12
60711,12
12637,12
145856,11
1678143,11
340016,11
169066,11
3635,11
8030,10
3329,10
59301,10
11309,10
747,10
28344,10
39947,10
1348798,9
211044,9
433727,9
4113,9
4558,9
1646512,9
1817679,9
1708701,9
1280,9
471232,8
4513,8
94232,8
3708,8
9685,8
3711,8
652676,8
11083,8
89462,8
41846,7
1775950,7
1427524,7
1627878,7
147711,7
6239,7
9612,7
903395,7
1679718,7
8022,7
11034,7
1297858,7
8932,7
39946,7
1729361,7
410659,7
9483,7
1236744,7
382835,7
3760,7
77133,7
7959,7
4442,7
59463,7
27706,6
59479,6
496924,6
44158,6
470,6
11287,6
4097,6
11021,6
3750,6
128017,6
11234,6
1792145,6
433724,6
1154581,6
1593443,6
2651591,6
1602388,6
2509479,6
217165,6
11276,6
28901,6
2509511,6
11520,6
12287,6
1441288,6
538121,6
7175,6
9545,6
186538,6
1436733,6
38727,6
1670606,6
37012,6
439488,5
94328,5
496922,5
10029,5
1234273,5
3218,5
8296,5
8090,5
7957,5
60710,5
1773,5
51953,5
9646,5
1632839,5
197911,5
1206366,5
1799687,5
98310,5
6687,5
1311626,5
9974,5
95602,5
128810,5
142786,5
88730,5
9915,5
5833,5
42789,5
47681,5
8255,5
527640,5
1583376,5
9669,5
110193,5
565995,5
444185,5
11137,5
10042,5
8128,5
55986,5
35924,5
9683,5
1338477,5
1202446,5
1549736,5
1699855,5
83906,5
1851193,5
9597,5
6645,5
2560602,5
4432,5
427924,5
447135,5
1227552,5
9430,5
5691,5
1163772,5
2705415,4
3483,4
54971,4
365059,4
59655,4
1580551,4
185891,4
1639,4
3747,4
511145,4
1869227,4
3414,4
73154,4
11246,4
11029,4
9863,4
1670605,4
4072,4
31033,4
40559,4
185935,4
10923,4
34613,4
8843,4
100897,4
42344,4
220873,4
90988,4
666,4
4555,4
412757,4
7108,4
46745,4
5811,4
75184,4
2214,4
37347,4
119488,4
