nodeId,appId,taxId,labels,taxRank,taxOrder,hostClass
8762089,7745,7745,['Taxon'],order,Petromyzontiformes,Fish
8760129,5234,5234,['Taxon'],order,Tremellales,Fungi
8820931,90886,90886,['Taxon'],order,Filobasidiales,Fungi
10268074,1851469,1851469,['Taxon'],order,Trichosporonales,Fungi
8760179,5303,5303,['Taxon'],order,Polyporales,Fungi
8773543,36064,36064,['Taxon'],order,Cantharellales,Fungi
8863185,139380,139380,['Taxon'],order,Hymenochaetales,Fungi
9138755,452342,452342,['Taxon'],order,Russulales,Fungi
9138751,452338,452338,['Taxon'],order,Corticiales,Fungi
9138752,452339,452339,['Taxon'],order,Gloeophyllales,Fungi
8760209,5338,5338,"['Taxon', 'Host']",order,Agaricales,Fungi
8801554,68889,68889,['Taxon'],order,Boletales,Fungi
8945336,231213,231213,['Taxon'],order,Sporidiobolales,Fungi
8760148,5258,5258,['Taxon'],order,Pucciniales,Fungi
9120736,432026,432026,['Taxon'],order,Mixiales,Fungi
8760157,5267,5267,['Taxon'],order,Ustilaginales,Fungi
8760263,5404,5404,['Taxon'],order,Exobasidiales,Fungi
8796835,62914,62914,['Taxon'],order,Entylomatales,Fungi
8883553,162475,162475,['Taxon'],order,Microstromatales,Fungi
8883552,162474,162474,['Taxon'],order,Malasseziales,Fungi
9120698,431958,431958,['Taxon'],order,Wallemiales,Fungi
8759893,4892,4892,['Taxon'],order,Saccharomycetales,Fungi
8760092,5185,5185,['Taxon'],order,Pezizales,Fungi
8907919,189479,189479,['Taxon'],order,Orbiliales,Fungi
8759989,5042,5042,['Taxon'],order,Eurotiales,Fungi
8771303,33183,33183,['Taxon'],order,Onygenales,Fungi
8772235,34395,34395,"['Taxon', 'Host']",order,Chaetothyriales,Fungi
8869381,146291,146291,['Taxon'],order,Verrucariales,Fungi
8760102,5197,5197,['Taxon'],order,Lecanorales,Fungi
9138358,451869,451869,"['Taxon', 'Host']",order,Botryosphaeriales,Fungi
8822721,92860,92860,"['Taxon', 'Host']",order,Pleosporales,Fungi
9262178,603422,603422,['Taxon'],order,Mytilinidiales,Fungi
9616840,1111111,1111111,['Taxon'],order,Venturiales,Fungi
8759971,5014,5014,['Taxon'],order,Dothideales,Fungi
8858730,134362,134362,"['Taxon', 'Host']",order,Capnodiales,Fungi
11025236,2726947,2726947,['Taxon'],order,Mycosphaerellales,Fungi
8760044,5125,5125,"['Taxon', 'Host']",order,Hypocreales,Fungi
8760384,5592,5592,['Taxon'],order,Microascales,Fungi
9546504,1028384,1028384,['Taxon'],order,Glomerellales,Fungi
8760054,5139,5139,['Taxon'],order,Sordariales,Fungi
8760037,5114,5114,['Taxon'],order,Diaporthales,Fungi
8760065,5151,5151,['Taxon'],order,Ophiostomatales,Fungi
9276798,639021,639021,['Taxon'],order,Magnaporthales,Fungi
10202352,1775898,1775898,['Taxon'],order,Togniniales,Fungi
8775151,37989,37989,['Taxon'],order,Xylariales,Fungi
8760086,5178,5178,['Taxon'],order,Helotiales,Fungi
8772207,34346,34346,['Taxon'],order,Schizosaccharomycetales,Fungi
8759966,5008,5008,['Taxon'],order,Taphrinales,Fungi
8775149,37987,37987,['Taxon'],order,Pneumocystales,Fungi
8772296,34478,34478,"['Taxon', 'Host']",order,Spizellomycetales,Fungi
8774096,36750,36750,['Taxon'],order,Glomerales,Fungi
8759840,4827,4827,['Taxon'],order,Mucorales,Fungi
8930538,214503,214503,['Taxon'],order,Mortierellales,Fungi
8759867,4861,4861,['Taxon'],order,Kickxellales,Fungi
8760599,5863,5863,['Taxon'],order,Piroplasmida,Parasite
8760558,5819,5819,['Taxon'],order,Haemosporida,Parasite
8807528,75739,75739,['Taxon'],order,Eucoccidiorida,Parasite
8770057,31277,31277,['Taxon'],order,Hymenostomatida,Parasite
8771748,33825,33825,['Taxon'],order,Peniculida,Parasite
8763326,9255,9255,['Taxon'],order,Monotremata,Mammal
9491446,948951,948951,['Taxon'],order,Cingulata,Mammal
9491445,948950,948950,['Taxon'],order,Pilosa,Mammal
8763769,9774,9774,['Taxon'],order,Sirenia,Mammal
8763774,9779,9779,['Taxon'],order,Proboscidea,Mammal
8763807,9815,9815,['Taxon'],order,Tubulidentata,Mammal
8768226,28734,28734,['Taxon'],order,Macroscelidea,Mammal
8763925,9971,9971,['Taxon'],order,Pholidota,Mammal
