Ephemerovirus	32613
Dependovirus	10803
Polyomavirus	36362
Spumavirus	11640
Orbivirus	10892
Asfivirus	39743
Kobuvirus	194960
Orthobunyavirus	11572
Rhadinovirus	10379
Amdovirus	310911
Arenavirus	11618
Hantavirus	1980442
Flavivirus	11051
Unassigned
Lyssavirus	11286
Orthohepadnavirus	10405
Phlebovirus	11584
Simplexvirus	10294
Alphavirus	11019
Orthoreovirus	10882
Seadornavirus	208294
Pestivirus	11095
Bornavirus	186458
Mastadenovirus	10509
Atadenovirus	100953
Mamastrovirus	249588
Coronavirus	2501931
Varicellovirus	10319
Lentivirus	11646
Deltaretrovirus	153136
Norovirus	142786
Deltapapillomavirus	325454
Xipapillomavirus	333921
Epsilonpapillomavirus	325459
Parapoxvirus	10257
Respirovirus	186938
Bocavirus	1507401
Pneumovirus	11245
Torovirus	11155
Lymphocryptovirus	10375
Orthopoxvirus	10242
Morbillivirus	11229
Lambdapapillomavirus	325462
Ictalurivirus	172653
Cytomegalovirus	10358
Vesiculovirus	11271
Erythrovirus	40121
Coltivirus	10911
Ebolavirus	186536
Kappapapillomavirus	325457
Nairovirus	1980517
Thogotovirus	35323
Cardiovirus	12103
Arterivirus	76803
Zetapapillomavirus	333918
Aphthovirus	12109
Erbovirus	194961
Lagovirus	95339
Vesivirus	95337
Gammaretrovirus	153135
Parvovirus	1506574
Hepacivirus	11102
Capripoxvirus	10265
Pipapillomavirus	334211
Leporipoxvirus	10270
Henipavirus	260964
Hepatovirus	12091
Deltavirus	39759
Hepevirus	186677
Enterovirus	12059
Roseolovirus	40272
Metapneumovirus	162387
Mupapillomavirus	334202
Alphapapillomavirus	333750
Gammapapillomavirus	325455
Nupapillomavirus	475861
Betapapillomavirus	333922
Rubulavirus	39744
Parechovirus	138954
Picobirnavirus	104394
Rhinovirus	12059
Influenzavirus A	197911
Influenzavirus B	197912
Influenzavirus C	197913
Betaretrovirus	140052
Nucleorhabdovirus	11306
Marburgvirus	186537
Iotapapillomavirus	325456
Sapovirus	95341
Molluscipoxvirus	10278
Muromegalovirus	10365
Avulavirus	260963
Omikronpapillomavirus	325461
Circovirus	39725
Alphacoronavirus	693996
Teschovirus	118139
Rotavirus	10912
Rubivirus	11040
Betacoronavirus	694002
Suipoxvirus	10275
Yatapoxvirus	10282
Anellovirus	687329
Ephemerovirus	32613
Dependovirus	
Polyomavirus	
Spumavirus	11640
Orbivirus	10892
Asfivirus	39743
Kobuvirus	194960
Orthobunyavirus	11572
Rhadinovirus	10379
Amdovirus	
Arenavirus	11618
Hantavirus	1980442
Flavivirus	11051
Unassigned	
Lyssavirus	11286
Orthohepadnavirus	10405
Phlebovirus	11584
Simplexvirus	10294
Alphavirus	11019
Orthoreovirus	10882
Seadornavirus	208294
Pestivirus	11095
Bornavirus	
Mastadenovirus	10509
Atadenovirus	100953
Mamastrovirus	249588
Coronavirus	
Varicellovirus	10319
Lentivirus	11646
Deltaretrovirus	153136
Norovirus	142786
Deltapapillomavirus	325454
Xipapillomavirus	333921
Epsilonpapillomavirus	325459
Parapoxvirus	10257
Respirovirus	186938
Bocavirus	
Pneumovirus	11245
Torovirus	11155
Lymphocryptovirus	10375
Orthopoxvirus	10242
Morbillivirus	11229
Lambdapapillomavirus	325462
Ictalurivirus	172653
Cytomegalovirus	10358
Vesiculovirus	11271
Erythrovirus	
Coltivirus	10911
Ebolavirus	186536
Kappapapillomavirus	325457
Nairovirus	
Thogotovirus	35323
Cardiovirus	12103
Arterivirus	
Zetapapillomavirus	333918
Aphthovirus	12109
Erbovirus	194961
Lagovirus	95339
Vesivirus	95337
Gammaretrovirus	153135
Parvovirus	
Hepacivirus	11102
Capripoxvirus	10265
Pipapillomavirus	334211
Leporipoxvirus	10270
Henipavirus	260964
Hepatovirus	12091
Deltavirus	39759
Hepevirus	186677
Enterovirus	12059
Roseolovirus	40272
Metapneumovirus	162387
Mupapillomavirus	334202
Alphapapillomavirus	333750
Gammapapillomavirus	325455
Nupapillomavirus	475861
Betapapillomavirus	333922
Rubulavirus	39744
Parechovirus	138954
Picobirnavirus	104394
Rhinovirus	
Influenzavirus A	
Influenzavirus B	
Influenzavirus C	
Betaretrovirus	140052
Nucleorhabdovirus	11306
Marburgvirus	186537
Iotapapillomavirus	325456
Sapovirus	95341
Molluscipoxvirus	10278
Muromegalovirus	10365
Avulavirus	260963
Omikronpapillomavirus	325461
Circovirus	39725
Alphacoronavirus	693996
Teschovirus	118139
Rotavirus	10912
Rubivirus	11040
Betacoronavirus	694002
Suipoxvirus	10275
Yatapoxvirus	10282
Anellovirus	
