Adelaide River virus	31612
Adeno-associated virus-1	
Adeno-associated virus-2	
Adeno-associated virus-5	
African green monkey polyomavirus	12480
African green monkey simian foamy virus	338079
African horse sickness virus	40050
African swine fever virus	10497
Aichi virus	
Akabane virus	70566
Alcelaphine herpesvirus 1	
Alcelaphine herpesvirus 2	
Aleutian mink disease virus	28314
Allpaahuayo virus	
Amapari virus	2886894
Andes virus	
Anopheles A virus	35307
Anopheles B virus	35308
Apoi virus	64280
Araguari virus	352236
Aravan virus	
Arctic squirrel hepatitis virus	
Aroa virus	64303
Arumowot virus	904698
Ateline herpesvirus 1	
Ateline herpesvirus 2	
Aura virus	44158
Australian bat lyssavirus	
Baboon orthoreovirus	75888
Baboon polyomavirus 2	
Bakau virus	35309
Bangui virus	2748253
Banna virus	77763
Banzi virus	38837
Barmah Forest virus	11020
Barur virus	380438
Bayou virus	
Bear Canyon virus	
Bebaru virus	59305
Berrimah virus	318834
Bhanja virus	1213620
Bimiti virus	1678224
Bivens Arm virus	909207
BK polyomavirus	
Black Creek Canal virus	
Bluetongue virus	40051
Border disease virus	358764
Borna disease virus	12455
Bouboui virus	64295
Bovine adenovirus A	
Bovine adenovirus B	
Bovine adenovirus C	
Bovine adenovirus D	
Bovine adenovirus E	130500
Bovine astrovirus	1435485
Bovine coronavirus	11128
Bovine enteric calicivirus strain NB	
Bovine ephemeral fever virus	11303
Bovine foamy virus	207343
Bovine herpesvirus 1	
Bovine herpesvirus 2	
Bovine herpesvirus 4	10385
Bovine herpesvirus 5	
Bovine immunodeficiency virus	11657
Bovine leukemia virus	11901
Bovine norovirus-CH126	
Bovine norovirus-Jena	
Bovine papillomavirus 1	
Bovine papillomavirus 3	
Bovine papillomavirus 5	
Bovine papular stomatitis virus	129727
Bovine parainfluenza virus 3	
Bovine parvovirus	10784
Bovine polyomavirus	
Bovine respiratory syncytial virus	
Bovine torovirus	74501
Bovine viral diarrhea virus 1	11099
Bovine viral diarrhea virus 2	54315
Bubaline herpesvirus 1	
Bujaru virus	904679
Bukalasa bat virus	64281
Bunyamwera virus	35304
Bwamba virus	
Cabassou virus	60879
Cacipacore virus	64305
California encephalitis virus	35305
Callitrichine herpesvirus 1	
Callitrichine herpesvirus 3	
Camelpox virus	28873
Canid herpesvirus 1	
Canine adenovirus	
Canine calicivirus	
Canine coronavirus	11153
Canine distemper virus	
Canine minute virus	329639
Canine oral papillomavirus	
Cano Delgadito virus	
Caprine arthritis encephalitis virus	11660
Caprine herpesvirus 1	
Caraparu virus	192196
Carey Island virus	64289
Catu virus	1678225
Caviid herpesvirus 1	
Caviid herpesvirus 2	
Caviid herpesvirus 3	
Cercopithecine herpesvirus 1	
Cercopithecine herpesvirus 12	106332
Cercopithecine herpesvirus 14	
Cercopithecine herpesvirus 15	
Cercopithecine herpesvirus 16	
Cercopithecine herpesvirus 17	
Cercopithecine herpesvirus 2	
Cercopithecine herpesvirus 5	
Cercopithecine herpesvirus 8	
Cercopithecine herpesvirus 9	
Cervid herpesvirus 1	
Cervid herpesvirus 2	
Cetacean morbillivirus virus	
Chagres virus	629727
Chandipura virus	11272
Candiru virus	
Changuinola virus	40052
Chikungunya virus	37124
Chipmunk parvovirus	56820
Chobar Gorge virus	1679172
Classical swine fever virus	11096
Cocal virus	50713
Colorado tick fever virus	46839
Corriparta virus	40053
Cote d'Ivoire ebolavirus	
Cottontail rabbit papillomavirus	
Cowbone Ridge virus	64298
Cowpox virus	10243
Cricetid herpesvirus	
Crimean-Congo hemorrhagic fever virus	3052518
Cupixi virus	
Dakar bat virus	64282
Deer adenovirus	
Deer papillomavirus	
Dengue virus	12637
Dera Ghazi Khan virus	
Dhori virus	
Dobrava-Belgrade virus	
Dugbe virus	
Duvenhage virus	
Eastern equine encephalitis virus	11021
Ectromelia virus	12643
El Moro Canyon virus	
Encephalomyocarditis virus	12104
Entebbe bat virus	64283
Epizootic hemorrhagic disease virus	40054
Equid herpesvirus 1	
Equid herpesvirus 2	
Equid herpesvirus 3	
Equid herpesvirus 4	
Equid herpesvirus 5	
Equid herpesvirus 7	
Equid herpesvirus 8	
Equid herpesvirus 9	
Equine adenovirus A	
Equine adenovirus B	
Equine arteritis virus	11047
Equine encephalosis virus	201490
Equine foamy virus	109270
Equine infectious anemia virus	11665
Equine papillomavirus 1	
Equine rhinitis A virus	47000
Equine rhinitis B virus	
Equine torovirus	329862
Eubenangee virus	40056
European bat lyssavirus 1	
European bat lyssavirus 2	
European brown hare syndrome virus	33756
European elk papillomavirus	
Everglades virus	2083198
Eyach virus	62352
Felid herpesvirus 1	
Feline astrovirus	
Feline calicivirus	11978
Feline coronavirus	12663
Feline foamy virus	53182
Feline immunodeficiency virus	11673
Feline leukemia virus	11768
Feline panleukopenia virus	10786
Feline papillomavirus	
Flexal virus	
Foot-and-mouth disease virus	12110
Gan Gan virus	1764076
GB virus A	
GB virus B	
GB virus C	54290
Getah virus	59300
Gibbon ape leukemia virus	11840
Goat adenovirus	
Goatpox virus	186805
Great Island virus	204269
Ground squirrel hepatitis virus	10406
