Adelaide River virus	31612
Adeno-associated virus-1	85106
Adeno-associated virus-2	10804
Adeno-associated virus-5	82300
African green monkey polyomavirus	12480
African green monkey simian foamy virus	338079
African horse sickness virus	40050
African swine fever virus	10497
Aichi virus	1313215
Akabane virus	70566
Alcelaphine herpesvirus 1
Alcelaphine herpesvirus 2
Aleutian mink disease virus	28314
Allpaahuayo virus	144752
Amapari virus	2886894
Andes virus	1980456
Anopheles A virus	35307
Anopheles B virus	35308
Apoi virus	64280
Araguari virus	352236
Aravan virus	211977
Arctic squirrel hepatitis virus
Aroa virus	64303
Arumowot virus	904698
Ateline herpesvirus 1	35243
Ateline herpesvirus 2	10380
Aura virus	44158
Australian bat lyssavirus	90961
Baboon orthoreovirus	75888
Baboon polyomavirus 2
Bakau virus	35309
Bangui virus	2748253
Banna virus	77763
Banzi virus	38837
Barmah Forest virus	11020
Barur virus	380438
Bayou virus	3052470
Bear Canyon virus	3052298
Bebaru virus	59305
Berrimah virus	318834
Bhanja virus	1213620
Bimiti virus	1678224
Bivens Arm virus	909207
BK polyomavirus	1891762
Black Creek Canal virus	3052490
Bluetongue virus	40051
Border disease virus	358764
Borna disease virus	12455
Bouboui virus	64295
Bovine adenovirus A	129953
Bovine adenovirus B	129950
Bovine adenovirus C	129952
Bovine adenovirus D	130499
Bovine adenovirus E	130500
Bovine astrovirus	1435485
Bovine coronavirus	11128
Bovine enteric calicivirus strain NB	206156
Bovine ephemeral fever virus	11303
Bovine foamy virus	207343
Bovine herpesvirus 1	10320
Bovine herpesvirus 2	10295
Bovine herpesvirus 4	10385
Bovine herpesvirus 5	35244
Bovine immunodeficiency virus	11657
Bovine leukemia virus	11901
Bovine norovirus-CH126
Bovine norovirus-Jena
Bovine papillomavirus 1	337052
Bovine papillomavirus 3	10561
Bovine papillomavirus 5	40537
Bovine papular stomatitis virus	129727
Bovine parainfluenza virus 3
Bovine parvovirus	10784
Bovine polyomavirus	1891754
Bovine respiratory syncytial virus	11246
Bovine torovirus	74501
Bovine viral diarrhea virus 1	11099
Bovine viral diarrhea virus 2	54315
Bubaline herpesvirus 1	202910
Bujaru virus	904679
Bukalasa bat virus	64281
Bunyamwera virus	35304
Bwamba virus	3052384
Cabassou virus	60879
Cacipacore virus	64305
California encephalitis virus	35305
Callitrichine herpesvirus 1	2169901
Callitrichine herpesvirus 3	106331
Camelpox virus	28873
Canid herpesvirus 1	170325
Canine adenovirus	10537
Canine calicivirus	1176484
Canine coronavirus	11153
Canine distemper virus	3052342
Canine minute virus	329639
Canine oral papillomavirus	35258
Cano Delgadito virus	3052476
Caprine arthritis encephalitis virus	11660
Caprine herpesvirus 1	39944
Caraparu virus	192196
Carey Island virus	64289
Catu virus	1678225
Caviid herpesvirus 1
Caviid herpesvirus 2	33706
Caviid herpesvirus 3
Cercopithecine herpesvirus 1	10325
Cercopithecine herpesvirus 12	106332
Cercopithecine herpesvirus 14
Cercopithecine herpesvirus 15	45455
Cercopithecine herpesvirus 16	340907
Cercopithecine herpesvirus 17	154334
Cercopithecine herpesvirus 2	10317
Cercopithecine herpesvirus 5	50292
Cercopithecine herpesvirus 8	47929
Cercopithecine herpesvirus 9	35246
Cervid herpesvirus 1	79891
Cervid herpesvirus 2	365327
Cetacean morbillivirus virus	3052344
Chagres virus	629727
Chandipura virus	11272
Candiru virus	629725
Changuinola virus	40052
Chikungunya virus	37124
Chipmunk parvovirus	56820
Chobar Gorge virus	1679172
Classical swine fever virus	11096
Cocal virus	50713
Colorado tick fever virus	46839
Corriparta virus	40053
Cote d'Ivoire ebolavirus
Cottontail rabbit papillomavirus	10623
Cowbone Ridge virus	64298
Cowpox virus	10243
Cricetid herpesvirus	3050268
Crimean-Congo hemorrhagic fever virus	3052518
Cupixi virus	3052304
Dakar bat virus	64282
Deer adenovirus
Deer papillomavirus	10564
Dengue virus	12637
Dera Ghazi Khan virus	3052525
Dhori virus	11318
Dobrava-Belgrade virus	3052477
Dugbe virus	3052514
Duvenhage virus	38767
Eastern equine encephalitis virus	11021
Ectromelia virus	12643
El Moro Canyon virus
Encephalomyocarditis virus	12104
Entebbe bat virus	64283
Epizootic hemorrhagic disease virus	40054
Equid herpesvirus 1	10326
Equid herpesvirus 2	12657
Equid herpesvirus 3	80341
Equid herpesvirus 4	10331
Equid herpesvirus 5	10371
Equid herpesvirus 7	291612
Equid herpesvirus 8	39637
Equid herpesvirus 9	55744
Equine adenovirus A	129954
Equine adenovirus B	129955
Equine arteritis virus	11047
Equine encephalosis virus	201490
Equine foamy virus	109270
Equine infectious anemia virus	11665
Equine papillomavirus 1	333919
Equine rhinitis A virus	47000
Equine rhinitis B virus	312185
Equine torovirus	329862
Eubenangee virus	40056
European bat lyssavirus 1	57482
European bat lyssavirus 2	57483
European brown hare syndrome virus	33756
European elk papillomavirus	10565
Everglades virus	2083198
Eyach virus	62352
Felid herpesvirus 1	10334
Feline astrovirus	1239566
Feline calicivirus	11978
Feline coronavirus	12663
Feline foamy virus	53182
Feline immunodeficiency virus	11673
Feline leukemia virus	11768
Feline panleukopenia virus	10786
Feline papillomavirus	181667
Flexal virus	3052305
Foot-and-mouth disease virus	12110
Gan Gan virus	1764076
GB virus A	3052610
GB virus B	2847087
GB virus C	54290
Getah virus	59300
Gibbon ape leukemia virus	11840
Goat adenovirus	111168
Goatpox virus	186805
Great Island virus	204269
Ground squirrel hepatitis virus	10406
Guama virus	1678234
Guanarito virus	3052307
Guaroa virus	80941
Guinea pig adenovirus	47901
Guinea pig type-C oncovirus
H-1 parvovirus	10799
Hamster oral papillomavirus	334212
Hamster parvovirus	42843
Hamster polyomavirus	1891729
Hantaan virus	3052480
Hare fibroma virus
Hendra virus	3052223
Hepatitis A virus	12092
Hepatitis B virus	10407
Hepatitis C virus	3052230
Hepatitis delta virus	12475
Hepatitis E virus	291484
Highlands J virus	11024
Hippotragine herpesvirus 1	333341
Human adenovirus A	129875
Human adenovirus B	108098
Human adenovirus C	129951
Human adenovirus D	130310
Human adenovirus E	130308
Human adenovirus F	130309
Human astrovirus	1868658
Human coronavirus 229E	11137
Human coronavirus OC43	31631
Human enterovirus A	138948
Human enterovirus B	138949
Human enterovirus C	138950
Human enterovirus D	138951
Human herpesvirus 1	10298
Human herpesvirus 2	10310
Human herpesvirus 3	10335
Human herpesvirus 4	10376
Human herpesvirus 5	10359
Human herpesvirus 6	10368
Human herpesvirus 7	10372
Human herpesvirus 8	37296
Human immunodeficiency virus 1	11676
Human immunodeficiency virus 2	11709
Human metapneumovirus	162145
Human norovirus-Alphatron	2755033
Human papillomavirus 1	334203
Human papillomavirus 10	337039
Human papillomavirus 16	333760
Human papillomavirus 18	333761
Human papillomavirus 2	337043
Human papillomavirus 26	337044
Human papillomavirus 32	337048
Human papillomavirus 34	337049
Human papillomavirus 4	10617
Human papillomavirus 41	334205
Human papillomavirus 48	333928
Human papillomavirus 49	334207
Human papillomavirus 5	333923
Human papillomavirus 50	333929
Human papillomavirus 53	337050
Human papillomavirus 54	1671798
Human papillomavirus 6	333754
Human papillomavirus 60	333930
Human papillomavirus 61	333767
Human papillomavirus 63	334204
Human papillomavirus 7	333757
Human papillomavirus 71	120686
Human papillomavirus 88	333931
Human papillomavirus 9	10621
Human papillomavirus cand90	333769
Human papillomavirus cand92	334208
Human papillomavirus cand96	334209
Human parainfluenza virus 1	12730
Human parainfluenza virus 2	2560525
Human parainfluenza virus 3	11216
Human parainfluenza virus 4	2560526
Human parechovirus	1803956
Human parvovirus B19	10798
Human picobirnavirus	145856
Human polyomavirus
Human respiratory syncytial virus	11250
Human rhinovirus A	147711
Human rhinovirus B	147712
Human torovirus	67605
Ife virus	2547357
Ilheus virus	59563
Influenza A virus	11320
Influenza B virus	11520
Influenza C virus	11552
Ippy virus	3052308
Irkut virus	249583
Isfahan virus	290008
Isla Vista virus	42097
Issyk-Kul virus	1453408
Itaporanga virus	629735
Jaagsiekte sheep retrovirus	11746
Japanaut virus	2547358
Japanese encephalitis virus	11072
JC polyomavirus	10632
Jugra virus	64309
Junin virus	2169991
Jurona virus	1972568
Jutiapa virus	64299
Kaeng Khoi virus	307164
Kairi virus	80939
Kasokero virus	1712570
Kern Canyon virus	380433
Keuraliba virus	380440
Khabarovsk virus	3052483
Khujand virus	237716
Kilham rat virus	12441
Kokobera virus	44024
Koongol virus	35314
Kotonkan virus	318836
Koutango virus	44025
Kyasanur Forest disease virus	33743
Lactate dehydrogenase-elevating virus	11048
Lagos bat virus	38766
Laguna Negra virus	3052489
Lake Victoria marburgvirus	3052505
Langur virus	363747
Lapine parvovirus
Lassa virus	3052310
Latino virus	3052311
Lebombo virus	40057
Ljungan virus	172314
Louping ill virus	11086
Lumpy skin disease virus	59509
Lymphocytic choriomeningitis virus	3052303
Macaque simian foamy virus	338478
Machupo virus	3052317
Macropodid herpesvirus 1	137443
Macropodid herpesvirus 2	83440
Madrid virus	348013
Main Drain virus	80938
Mammalian orthoreovirus	351073
Manzanilla virus	159139
Mapuera virus	3052559
Maraba virus	1046251
Marituba virus	292278
Marmodid herpesvirus 1
Mason-Pfizer monkey virus	11855
Mastomys natalensis papillomavirus	10567
Mayaro virus	59301
Measles virus	11234
Menangle virus	152219
Middelburg virus	11023
Minatitlan virus	35315
Mink astrovirus	1239574
Mink calicivirus	154122
Mink enteric sapovirus	154121
Minute virus of mice	10794
Mobala virus	3052325
Modoc virus	64300
Mokola virus	12538
Molluscum contagiosum virus	10279
Moloney murine sarcoma virus	11809
Monkeypox virus	10244
Montana myotis leukoencephalitis virus	64312
Mopeia virus	3052320
Mosso das Pedras virus 78V3531
Mount Elgon bat virus	380434
Mouse mammary tumor virus	11757
Mouse parvovirus 1	35340
Mucambo virus	60875
Muleshoe virus	47301
Mumps virus	2560602
Murid herpesvirus 1	10366
Murid herpesvirus 2	28304
Murid herpesvirus 3	2419785
Murid herpesvirus 4	33708
Murid herpesvirus 5	2928567
Murine adenovirus A	129956
Murine adenovirus B	1146873
Murine hepatitis virus	11138
Murine leukemia virus	11786
Murine norovirus 1	223997
Murine pneumonia virus	11263
Murine pneumotropic virus	1891770
Murine polyomavirus	1891730
Murray Valley encephalitis virus	11079
Mustelid herpesvirus 1	311179
Myxoma virus	10273
Nariva virus	590647
Ndumu virus	59302
Nelson Bay orthoreovirus	118027
New York virus	44755
Newcastle disease virus
Nipah virus	2560319
Norwalk virus	11983
Ntaya virus	64292
Nyando virus	35316
O'nyong-nyong virus	2169701
Oita virus	1272953
Okola virus	2748254
Oliveros virus	3052322
Omsk hemorrhagic fever virus	12542
Orf virus	10258
Oriboca virus	192199
Oropouche virus	118655
Orungo virus	40058
Ovine adenovirus A	114424
Ovine adenovirus D	130327
Ovine astrovirus	1239577
Ovine herpesvirus 2	10398
Ovine papillomavirus 1	56144
Palyam virus	40059
Pampa virus	51317
Parainfluenza virus 5	2905673
Parana virus	2905947
Parapoxvirus of red deer in New Zealand	129728
Patois virus	35318
Peruvian horse sickness virus	356862
Peste-des-petits-ruminants virus	2593991
Phnom Penh bat virus	64894
Phocid herpesvirus 1	47418
Phocine distemper virus	11240
Phocoena spinipinnis papillomavirus	82676
Pichinde virus	2905917
Pig-tailed macaque parvovirus	119755
Pirital virus	3052324
Piry virus	11274
Pixuna virus	60876
Poliovirus	138950
Pongine herpesvirus 1	159602
Pongine herpesvirus 2	159603
Pongine herpesvirus 3	159604
Pongine herpesvirus 4	188763
Porcine adenovirus A	130369
Porcine adenovirus B	130370
Porcine adenovirus C	130371
Porcine astrovirus	1239567
Porcine circovirus-1	133704
Porcine circovirus-2	85708
Porcine enteric sapovirus	106333
Porcine enterovirus A	686984
Porcine enterovirus B	106966
Porcine epidemic diarrhea virus	28295
Porcine hemagglutinating encephalomyelitis virus	42005
Porcine parvovirus	10796
Porcine reproductive and respiratory syndrome virus	28344
Porcine rubulavirus	3052562
Porcine teschovirus	118140
Porcine torovirus	237020
Porcine type-C oncovirus	369960
Possum adenovirus	121816
Powassan virus	11083
Primate T-lymphotropic virus 1	194440
Primate T-lymphotropic virus 2	194441
Primate T-lymphotropic virus 3	194443
Prospect Hill virus	3052492
Pseudocowpox virus	129726
Puma lentivirus	12804
Punta Toro virus	11587
Puumala virus	3052493
Qalyub virus	3052532
