sourceNodeId,sourceAppId,targetNodeId,targetAppId,relationshipType,count,avgPercentIdentityPalmprint,avgPercentIdentityStatKmers,avgPercentIdentityStatSpots,weight
7712565,u7502,8756157,356,HAS_HOST_STAT,2,0.44,0.9423999999999999,0.1951,0.41465599999999997
7685828,u27,8756157,356,HAS_HOST_STAT,1,0.98,0.9971,0.9733,0.977158
7710320,u7106,8756157,356,HAS_HOST_STAT,1,1.0,0.8148,0.4619,0.8148
7721251,u12999,8756749,1118,HAS_HOST_STAT,9,0.3766666666666667,0.9766666666666667,0.7207333333333333,0.3678777777777778
7848666,u79456,8756749,1118,HAS_HOST_STAT,1,0.7,0.9558,0.7469,0.66906
7731432,u19245,8756749,1118,HAS_HOST_STAT,6,1.0,0.9735166666666667,0.74785,0.9735166666666667
7723691,u15659,8756954,1385,HAS_HOST_STAT,1,0.39,0.891,0.0207,0.34749
7729255,u18450,8756954,1385,HAS_HOST_STAT,1,1.0,0.9853,0.6383,0.9853
7687080,u64,8756954,1385,HAS_HOST_STAT,4,0.985,0.977625,0.292475,0.9629606249999999
7692222,u556,8756954,1385,HAS_HOST_STAT,5,1.0,0.97604,0.2775,0.97604
7695498,u1041,8756954,1385,HAS_HOST_STAT,10,0.941,0.97968,0.29266000000000003,0.92187888
7687472,u128,8756954,1385,HAS_HOST_STAT,7,0.9571428571428572,0.9776142857142857,0.27212857142857144,0.9357165306122449
7747793,u25572,8756954,1385,HAS_HOST_STAT,1,0.43,0.9989,0.6538,0.429527
7685828,u27,8756954,1385,HAS_HOST_STAT,1,1.0,0.8902,0.6025,0.8902
7812704,u59397,8756954,1385,HAS_HOST_STAT,1,0.6,0.8979,0.1829,0.53874
8009017,u183591,8756954,1385,HAS_HOST_STAT,1,1.0,0.8979,0.1829,0.8979
7725949,u17125,8756954,1385,HAS_HOST_STAT,1,1.0,0.8979,0.1829,0.8979
8090570,u236116,8756954,1385,HAS_HOST_STAT,1,0.94,0.8979,0.1829,0.8440259999999999
7718397,u11126,8756954,1385,HAS_HOST_STAT,1,0.96,0.8979,0.1829,0.861984
7683241,u20,8757513,2085,HAS_HOST_STAT,1,1.0,0.8784,0.357,0.8784
7714985,u8555,8758279,3042,HAS_HOST_STAT,1,0.38,0.9989,0.9442,0.37958200000000003
7774490,u41563,8758425,3215,HAS_HOST_STAT,2,1.0,0.99985,0.9537,0.99985
7685828,u27,8758425,3215,HAS_HOST_STAT,1,1.0,0.9987,0.945,0.9987
7702489,u2740,8758678,3502,HAS_HOST_STAT,1,0.48,0.9759,0.6987,0.46843199999999996
7692712,u602,8758678,3502,HAS_HOST_STAT,1,0.52,0.9712,0.713,0.505024
8064805,u217989,8758678,3502,HAS_HOST_STAT,1,0.99,0.9865,0.5891,0.976635
7720530,u12284,8758678,3502,HAS_HOST_STAT,2,0.375,0.99705,0.83345,0.37389375
7727900,u17734,8758698,3524,HAS_HOST_STAT,1,0.37,0.9991,0.9681,0.36966699999999997
7805049,u55393,8758698,3524,HAS_HOST_STAT,1,0.43,0.9986,0.8612,0.429398
7806372,u56174,8758698,3524,HAS_HOST_STAT,12,0.9541666666666667,0.9991666666666666,0.958725,0.9533715277777778
7720213,u11948,8758698,3524,HAS_HOST_STAT,1,1.0,0.9949,0.9324,0.9949
7730045,u18674,8758804,3646,HAS_HOST_STAT,2,0.995,0.9892,0.90525,0.984254
7685828,u27,8758804,3646,HAS_HOST_STAT,3,0.9833333333333333,0.9328333333333333,0.2966333333333333,0.917286111111111
7738921,u21498,8758804,3646,HAS_HOST_STAT,1,0.97,0.9857,0.5252,0.956129
7964814,u152409,8758804,3646,HAS_HOST_STAT,1,0.36,0.9879,0.4979,0.35564399999999996
7727089,u17462,8758804,3646,HAS_HOST_STAT,1,0.35,0.993,0.8671,0.34754999999999997
8091945,u237191,8758804,3646,HAS_HOST_STAT,1,0.4,0.9988,0.9422,0.39952000000000004
7729255,u18450,8758804,3646,HAS_HOST_STAT,4,1.0,0.9835,0.716525,0.9835
7703569,u3193,8758804,3646,HAS_HOST_STAT,5,1.0,0.8636199999999999,0.1606,0.8636199999999999
7774490,u41563,8758804,3646,HAS_HOST_STAT,2,1.0,0.8687,0.1595,0.8687
7732231,u19886,8758852,3699,HAS_HOST_STAT,1,1.0,0.9962,0.9302,0.9962
7806372,u56174,8758852,3699,HAS_HOST_STAT,144,0.7695833333333332,0.9946506944444444,0.9189333333333336,0.7654665969328702
7718397,u11126,8758852,3699,HAS_HOST_STAT,1,0.39,0.8702,0.331,0.339378
7729255,u18450,8758852,3699,HAS_HOST_STAT,21,0.994761904761905,0.9880619047619048,0.7568904761904761,0.9828863424036284
7877809,u96638,8758852,3699,HAS_HOST_STAT,1,0.48,0.9999,0.9103,0.479952
8166437,u291146,8758852,3699,HAS_HOST_STAT,2,0.995,0.98635,0.92285,0.9814182499999999
7747213,u25278,8758852,3699,HAS_HOST_STAT,1,0.44,0.9482,0.4619,0.417208
7706372,u4485,8758852,3699,HAS_HOST_STAT,1,0.63,0.9982,0.89,0.628866
7727089,u17462,8758852,3699,HAS_HOST_STAT,1,0.44,0.9961,0.9453,0.438284
7702489,u2740,8758852,3699,HAS_HOST_STAT,3,0.96,0.9981,0.9556,0.9581759999999999
7692881,u703,8758852,3699,HAS_HOST_STAT,2,0.46499999999999997,0.99295,0.8932,0.46172175
7715462,u8745,8758852,3699,HAS_HOST_STAT,1,0.27,0.9257,0.2574,0.249939
7680426,u16,8758852,3699,HAS_HOST_STAT,1,1.0,0.9973,0.9511,0.9973
7683241,u20,8758852,3699,HAS_HOST_STAT,1,0.35,0.9995,0.9622,0.349825
7913355,u126225,8758852,3699,HAS_HOST_STAT,6,0.7666666666666667,0.96515,0.5820166666666666,0.7399483333333333
7712331,u7471,8758852,3699,HAS_HOST_STAT,1,0.99,0.9976,0.9163,0.9876240000000001
7725078,u16704,8758852,3699,HAS_HOST_STAT,1,1.0,0.9969,0.948,0.9969
7697617,u1680,8758852,3699,HAS_HOST_STAT,4,0.9225,0.9912,0.699325,0.9143819999999999
7737839,u21352,8758852,3699,HAS_HOST_STAT,1,0.3,0.9949,0.9607,0.29847
7743834,u24038,8758892,3744,HAS_HOST_STAT,15,0.4,0.9954066666666666,0.8756733333333334,0.39816266666666666
7729255,u18450,8758892,3744,HAS_HOST_STAT,9,0.9588888888888889,0.9881111111111112,0.8102111111111112,0.9474887654320988
7877809,u96638,8758892,3744,HAS_HOST_STAT,1,0.43,0.9994,0.8851,0.42974199999999996
7698650,u1964,8758892,3744,HAS_HOST_STAT,1,0.48,0.9946,0.7793,0.477408
7725949,u17125,8758892,3744,HAS_HOST_STAT,1,0.39,0.9953,0.8238,0.388167
7691826,u511,8758892,3744,HAS_HOST_STAT,1,0.35,0.9571,0.8233,0.334985
7725497,u16999,8758892,3744,HAS_HOST_STAT,13,0.9884615384615384,0.9823384615384614,0.8470615384615386,0.9710037869822483
7685828,u27,8758892,3744,HAS_HOST_STAT,1,0.38,0.9976,0.8547,0.37908800000000004
7730045,u18674,8758892,3744,HAS_HOST_STAT,1,0.38,0.9883,0.8361,0.375554
7738992,u21516,8758892,3744,HAS_HOST_STAT,1,0.55,0.9714,0.6594,0.53427
8141109,u271833,8758892,3744,HAS_HOST_STAT,1,0.5,0.988,0.8723,0.494
7696942,u1387,8758892,3744,HAS_HOST_STAT,1,0.54,0.9984,0.8802,0.5391360000000001
7848666,u79456,8758892,3744,HAS_HOST_STAT,1,0.62,0.9987,0.9525,0.619194
7714377,u8238,8758892,3744,HAS_HOST_STAT,1,0.41,0.9984,0.9415,0.40934399999999993
8013838,u186873,8759158,4036,HAS_HOST_STAT,1,0.35,0.8805,0.0594,0.308175
