sourceNodeId,sourceAppId,targetNodeId,targetAppId,relationshipType,count,avgPercentIdentityPalmprint,avgPercentIdentityStatKmers,avgPercentIdentityStatSpots,weight
7713664,u7986,8755906,29,HAS_HOST_STAT,1,0.85,0.8129,0.0083,0.6909649999999999
7709137,u6438,8755987,136,HAS_HOST_STAT,1,1.0,0.2199,0.1182,0.2199
7713664,u7986,8756157,356,HAS_HOST_STAT,14,0.9678571428571429,0.41585,0.16853571428571432,0.40248339285714285
7744199,u24285,8756157,356,HAS_HOST_STAT,5,0.5059999999999999,0.38705999999999996,0.01508,0.19585235999999995
7693578,u824,8756157,356,HAS_HOST_STAT,12,0.6058333333333334,0.257575,0.020541666666666666,0.15604752083333337
7725078,u16704,8756157,356,HAS_HOST_STAT,1,1.0,0.4,0.0354,0.4
7693113,u741,8756157,356,HAS_HOST_STAT,2,0.485,0.4171,0.0235,0.20229350000000001
8182258,u303211,8756157,356,HAS_HOST_STAT,6,0.8083333333333333,0.2820333333333333,0.04446666666666667,0.2279769444444444
8488682,u733204,8756157,356,HAS_HOST_STAT,2,0.81,0.27505,0.07575000000000001,0.22279050000000003
7712523,u7492,8756157,356,HAS_HOST_STAT,1,0.32,0.3659,0.0082,0.117088
7725949,u17125,8756157,356,HAS_HOST_STAT,2,0.995,0.23425,0.02555,0.23307875
7725156,u16775,8756157,356,HAS_HOST_STAT,2,0.45999999999999996,0.31875,0.01185,0.14662499999999998
7907742,u123944,8756157,356,HAS_HOST_STAT,1,0.47,0.2205,0.0086,0.10363499999999999
7746602,u24970,8756157,356,HAS_HOST_STAT,1,0.36,0.2763,0.0083,0.09946799999999999
7698370,u1958,8756157,356,HAS_HOST_STAT,1,1.0,0.2422,0.0458,0.2422
7702882,u2793,8756157,356,HAS_HOST_STAT,3,0.98,0.2422,0.0458,0.23735599999999998
7704606,u3632,8756157,356,HAS_HOST_STAT,1,1.0,0.2422,0.0458,0.2422
7710320,u7106,8756157,356,HAS_HOST_STAT,3,1.0,0.4581333333333333,0.16596666666666665,0.4581333333333333
7771720,u39811,8756157,356,HAS_HOST_STAT,1,0.36,0.2082,0.0244,0.07495199999999999
7742715,u23264,8756157,356,HAS_HOST_STAT,2,0.43,0.32999999999999996,0.0203,0.14189999999999997
7687472,u128,8756157,356,HAS_HOST_STAT,1,0.38,0.3724,0.1059,0.141512
7695337,u994,8756157,356,HAS_HOST_STAT,1,0.5,0.3724,0.1059,0.1862
7711410,u7290,8756157,356,HAS_HOST_STAT,1,0.41,0.2387,0.0059,0.097867
7688419,u405,8756157,356,HAS_HOST_STAT,2,0.505,0.4437,0.02315,0.2240685
7712590,u7529,8756157,356,HAS_HOST_STAT,1,0.56,0.2722,0.0041,0.152432
7723908,u16025,8756157,356,HAS_HOST_STAT,3,0.49,0.30379999999999996,0.022233333333333334,0.14886199999999997
8096988,u240772,8756157,356,HAS_HOST_STAT,1,0.37,0.3656,0.0178,0.135272
7749345,u26426,8756157,356,HAS_HOST_STAT,2,0.99,0.23005,0.0324,0.2277495
7698675,u1971,8756157,356,HAS_HOST_STAT,1,0.36,0.2202,0.0143,0.079272
7918233,u127846,8756157,356,HAS_HOST_STAT,1,0.54,0.2489,0.0137,0.13440600000000003
7743961,u24121,8756157,356,HAS_HOST_STAT,1,0.5,0.2161,0.0123,0.10805
7717107,u9975,8756157,356,HAS_HOST_STAT,1,0.38,0.4211,0.0167,0.160018
7729255,u18450,8756157,356,HAS_HOST_STAT,1,0.35,0.3654,0.0179,0.12789
7746810,u25022,8756157,356,HAS_HOST_STAT,1,0.41,0.3336,0.017,0.136776
7709244,u6549,8756157,356,HAS_HOST_STAT,3,0.4166666666666667,0.3295,0.010766666666666667,0.13729166666666667
7695805,u1095,8756157,356,HAS_HOST_STAT,1,0.42,0.3177,0.0183,0.133434
7702942,u2833,8756157,356,HAS_HOST_STAT,1,0.75,0.2104,0.006,0.1578
7752992,u29610,8756157,356,HAS_HOST_STAT,1,0.53,0.2835,0.0113,0.150255
7713904,u8030,8756157,356,HAS_HOST_STAT,1,0.49,0.4779,0.0201,0.234171
7697506,u1631,8756157,356,HAS_HOST_STAT,1,0.44,0.5109,0.0195,0.22479600000000002
8640515,u916935,8756157,356,HAS_HOST_STAT,1,0.55,0.2308,0.0056,0.12694000000000003
7743461,u23818,8756157,356,HAS_HOST_STAT,1,0.36,0.2535,0.0221,0.09126
7706759,u4687,8756157,356,HAS_HOST_STAT,1,0.31,0.42,0.0141,0.13019999999999998
8450617,u654834,8756474,766,HAS_HOST_STAT,1,0.39,0.2682,0.0018,0.104598
7692881,u703,8756474,766,HAS_HOST_STAT,8,0.58,0.36555000000000004,0.006875,0.212019
7729255,u18450,8756749,1118,HAS_HOST_STAT,1,1.0,0.6364,0.3572,0.6364
8225203,u351616,8756767,1150,HAS_HOST_STAT,1,0.53,0.385,0.0161,0.20405
8321177,u464317,8756767,1150,HAS_HOST_STAT,1,0.63,0.2322,0.0191,0.146286
8020032,u190602,8756767,1150,HAS_HOST_STAT,2,0.97,0.4926,0.1862,0.47782199999999997
7729255,u18450,8756767,1150,HAS_HOST_STAT,1,1.0,0.2994,0.1681,0.2994
7854483,u82622,8756767,1150,HAS_HOST_STAT,1,0.44,0.4328,0.0606,0.19043200000000002
7692881,u703,8756776,1161,HAS_HOST_STAT,1,0.31,0.3388,0.032,0.105028
8225203,u351616,8756776,1161,HAS_HOST_STAT,1,0.53,0.2406,0.01,0.12751800000000002
7713664,u7986,8756954,1385,HAS_HOST_STAT,22,0.9463636363636364,0.37953636363636356,0.166,0.35917941322314045
7693578,u824,8756954,1385,HAS_HOST_STAT,4,0.4375,0.29295,0.1635,0.128165625
7698370,u1958,8756954,1385,HAS_HOST_STAT,1,0.6,0.8995,0.0466,0.5397
7720969,u12737,8756954,1385,HAS_HOST_STAT,1,0.59,0.262,0.1445,0.15458
7749345,u26426,8756954,1385,HAS_HOST_STAT,1,1.0,0.5683,0.404,0.5683
8616026,u888122,8756954,1385,HAS_HOST_STAT,2,0.76,0.27344999999999997,0.12329999999999999,0.20782199999999998
8182258,u303211,8756954,1385,HAS_HOST_STAT,1,1.0,0.3902,0.0534,0.3902
7907742,u123944,8756954,1385,HAS_HOST_STAT,2,0.655,0.22405,0.04345,0.14675275000000002
7708808,u6152,8756954,1385,HAS_HOST_STAT,2,0.42000000000000004,0.2822,0.029249999999999998,0.11852400000000002
8334165,u482954,8756954,1385,HAS_HOST_STAT,1,1.0,0.3418,0.1946,0.3418
